fips,CTYNAME,YEAR,Total,Total_Males,Total_Female,White_Male,White_Female,Black_Male,Black_Female,Native_Amer_Male,Native_Amer_Female,Asian_Male,Asian_Female,Hispanic_Male,Hispanic_Female
1,Accomack County,2010,33148,16152,16996,11341,11496,4340,5049,105,92,87,106,1551,1270
1,Accomack County,2011,33225,16225,17000,11348,11478,4390,5071,114,96,80,92,1636,1303
1,Accomack County,2012,33268,16275,16993,11321,11463,4481,5073,109,96,82,103,1622,1295
1,Accomack County,2013,32969,16092,16877,11171,11390,4431,5010,109,98,91,108,1583,1301
1,Accomack County,2014,32971,16076,16895,11114,11409,4428,4989,108,96,112,125,1545,1304
1,Accomack County,2015,32914,16021,16893,11044,11392,4422,4976,108,96,119,134,1567,1328
1,Accomack County,2016,32871,15992,16879,11010,11372,4430,4978,109,99,114,139,1569,1333
1,Accomack County,2017,32685,15920,16765,10900,11309,4460,4925,112,100,110,147,1579,1347
1,Accomack County,2018,32581,15893,16688,10881,11276,4441,4877,120,106,111,149,1624,1346
1,Accomack County,2019,32316,15728,16588,10703,11196,4455,4849,128,111,106,151,1605,1350
3,Albemarle County,2010,99204,47712,51492,39517,42566,4694,5096,198,183,2234,2471,2912,2504
3,Albemarle County,2011,100213,48047,52166,39804,43061,4726,5167,208,192,2215,2484,2958,2624
3,Albemarle County,2012,101464,48561,52903,40227,43570,4732,5207,187,196,2288,2625,2963,2684
3,Albemarle County,2013,102270,48911,53359,40571,44028,4711,5206,200,190,2253,2622,2934,2742
3,Albemarle County,2014,103732,49634,54098,40986,44463,4834,5299,202,201,2380,2763,2949,2857
3,Albemarle County,2015,105117,50387,54730,41497,45009,4879,5293,216,206,2495,2845,3052,2946
3,Albemarle County,2016,106431,50926,55505,41829,45511,4993,5453,231,200,2564,2903,3114,3010
3,Albemarle County,2017,107768,51482,56286,42223,46035,4982,5499,215,212,2703,3026,3129,3130
3,Albemarle County,2018,108377,51811,56566,42429,46256,4996,5531,212,201,2804,3077,3162,3144
3,Albemarle County,2019,109330,52319,57011,42775,46613,5043,5557,189,194,2919,3132,3173,3140
5,Alleghany County,2010,16203,7946,8257,7411,7745,383,372,15,14,19,20,102,80
5,Alleghany County,2011,16163,7933,8230,7405,7708,377,380,15,15,20,22,125,97
5,Alleghany County,2012,16034,7856,8178,7304,7661,391,370,15,15,21,24,131,103
5,Alleghany County,2013,15923,7856,8067,7289,7543,394,370,17,16,18,20,132,110
5,Alleghany County,2014,15605,7671,7934,7109,7428,378,346,17,19,20,21,104,103
5,Alleghany County,2015,15425,7557,7868,6999,7362,367,330,17,23,22,22,105,102
5,Alleghany County,2016,15387,7523,7864,6962,7357,371,331,20,26,22,23,110,116
5,Alleghany County,2017,15128,7396,7732,6836,7229,378,320,18,25,21,23,113,120
5,Alleghany County,2018,14986,7325,7661,6761,7142,374,322,18,24,20,23,107,114
5,Alleghany County,2019,14860,7260,7600,6689,7094,384,314,19,25,22,24,117,121
7,Amelia County,2010,12746,6253,6493,4752,4786,1359,1569,46,29,12,19,182,117
7,Amelia County,2011,12752,6237,6515,4761,4799,1326,1549,44,28,15,40,188,134
7,Amelia County,2012,12745,6228,6517,4744,4812,1322,1515,45,28,17,43,195,157
7,Amelia County,2013,12656,6165,6491,4728,4785,1279,1517,44,27,15,46,185,166
7,Amelia County,2014,12713,6197,6516,4760,4799,1274,1519,44,28,20,49,191,181
7,Amelia County,2015,12784,6278,6506,4840,4782,1262,1519,45,28,20,43,202,176
7,Amelia County,2016,12801,6303,6498,4851,4807,1269,1490,46,29,23,44,208,188
7,Amelia County,2017,12980,6407,6573,4958,4914,1262,1459,45,29,22,49,212,171
7,Amelia County,2018,13057,6435,6622,4990,4989,1247,1431,47,29,25,52,208,167
7,Amelia County,2019,13145,6483,6662,5026,5024,1252,1436,48,31,29,51,227,191
9,Amherst County,2010,32387,15463,16924,11928,13159,3024,3163,136,160,55,107,345,287
9,Amherst County,2011,32154,15340,16814,11865,13082,2958,3126,131,164,65,106,345,295
9,Amherst County,2012,32630,15621,17009,11997,13233,3059,3166,132,162,73,113,351,325
9,Amherst County,2013,32317,15451,16866,11859,13121,3059,3136,130,155,67,109,359,345
9,Amherst County,2014,32158,15400,16758,11815,13040,3054,3119,125,146,67,109,370,359
9,Amherst County,2015,31836,15475,16361,11861,12668,3070,3088,121,151,72,99,379,351
9,Amherst County,2016,31887,15421,16466,11831,12787,3043,3072,118,154,73,97,392,372
9,Amherst County,2017,31863,15466,16397,11847,12705,3043,3061,123,158,72,90,407,371
9,Amherst County,2018,31684,15425,16259,11818,12599,3019,3017,120,165,81,90,422,370
9,Amherst County,2019,31605,15360,16245,11746,12553,3017,3024,119,172,80,100,403,364
11,Appomattox County,2010,15098,7342,7756,5755,6001,1428,1596,22,17,15,21,93,79
11,Appomattox County,2011,15109,7338,7771,5742,6039,1434,1570,22,17,19,22,87,84
11,Appomattox County,2012,15246,7410,7836,5793,6084,1447,1575,22,19,17,20,87,79
11,Appomattox County,2013,15320,7427,7893,5805,6116,1429,1595,25,24,20,25,81,84
11,Appomattox County,2014,15348,7445,7903,5800,6121,1440,1587,24,20,25,29,84,93
11,Appomattox County,2015,15492,7522,7970,5870,6192,1429,1562,26,22,30,32,108,112
11,Appomattox County,2016,15528,7546,7982,5928,6223,1410,1561,24,19,27,34,119,121
11,Appomattox County,2017,15723,7636,8087,6014,6305,1413,1568,23,21,19,34,141,120
11,Appomattox County,2018,15881,7713,8168,6077,6358,1414,1579,26,25,23,36,146,134
11,Appomattox County,2019,15911,7719,8192,6107,6414,1389,1562,26,22,23,38,161,139
13,Arlington County,2010,209295,104337,104958,82037,80240,8891,9538,948,822,9316,11140,16339,15463
13,Arlington County,2011,215990,107767,108223,84727,82773,9135,9842,888,809,9713,11471,16811,16072
13,Arlington County,2012,221454,110206,111248,86495,85004,9388,10055,856,785,10005,11991,17312,16669
13,Arlington County,2013,224894,112053,112841,87790,86190,9641,10193,841,753,10142,12194,17652,16992
13,Arlington County,2014,225980,112679,113301,87567,85758,9981,10533,842,714,10547,12614,17739,17053
13,Arlington County,2015,228548,114227,114321,88262,85914,10347,10857,845,726,10956,13018,18269,17213
13,Arlington County,2016,231259,115703,115556,88989,86284,10700,11178,842,718,11279,13378,18578,17367
13,Arlington County,2017,234647,117387,117260,89956,87175,10900,11393,838,694,11611,13862,18855,17682
13,Arlington County,2018,236025,118296,117729,90381,87185,11188,11507,824,708,11676,14013,19074,17887
13,Arlington County,2019,236842,118687,118155,90466,87173,11263,11659,822,707,11767,14178,18985,17966
15,Augusta County,2010,73584,37295,36289,34666,34608,1980,937,83,84,179,218,838,690
15,Augusta County,2011,73648,37285,36363,34653,34661,1959,957,86,83,191,222,870,695
15,Augusta County,2012,73588,37213,36375,34568,34656,1948,946,81,81,192,225,894,719
15,Augusta County,2013,73842,37296,36546,34588,34734,1975,985,92,86,198,253,956,775
15,Augusta County,2014,73881,37293,36588,34555,34780,1978,960,98,80,194,258,978,810
15,Augusta County,2015,74292,37622,36670,34748,34851,2093,972,96,81,199,273,1044,860
15,Augusta County,2016,74834,37965,36869,34964,35021,2166,981,104,77,204,261,1065,939
15,Augusta County,2017,75177,38129,37048,34985,35115,2269,1037,98,73,211,276,1099,975
15,Augusta County,2018,75535,38320,37215,35027,35214,2349,1062,105,77,219,273,1211,1029
15,Augusta County,2019,75558,38356,37202,34986,35116,2400,1118,105,86,220,270,1285,1089
17,Bath County,2010,4721,2380,2341,2230,2207,130,103,3,3,3,5,66,39
17,Bath County,2011,4655,2340,2315,2183,2186,134,91,3,5,3,5,62,38
17,Bath County,2012,4642,2333,2309,2156,2176,145,90,3,7,7,7,45,38
17,Bath County,2013,4592,2304,2288,2131,2156,140,90,4,5,7,8,41,43
17,Bath County,2014,4535,2290,2245,2123,2125,130,85,4,4,8,8,43,42
17,Bath County,2015,4460,2244,2216,2086,2097,130,83,4,5,8,7,48,48
17,Bath County,2016,4409,2222,2187,2068,2057,120,82,5,7,11,11,48,53
17,Bath County,2017,4266,2150,2116,2007,1980,111,84,4,6,9,12,43,52
17,Bath County,2018,4253,2137,2116,1987,1971,118,88,4,5,6,13,45,54
17,Bath County,2019,4147,2099,2048,1955,1898,112,89,4,5,6,14,39,52
19,Bedford County,2010,75035,36994,38041,33582,34385,2553,2677,99,99,336,436,638,588
19,Bedford County,2011,75554,37219,38335,33780,34592,2553,2692,104,102,332,470,660,630
19,Bedford County,2012,75750,37315,38435,33770,34661,2601,2684,114,113,343,474,684,682
19,Bedford County,2013,76177,37539,38638,33953,34838,2612,2662,117,107,351,485,735,710
19,Bedford County,2014,77034,37947,39087,34238,35157,2630,2716,120,118,405,513,786,746
19,Bedford County,2015,77629,38303,39326,34483,35326,2715,2751,123,124,418,518,797,763
19,Bedford County,2016,77993,38458,39535,34586,35483,2730,2771,122,126,424,534,834,800
19,Bedford County,2017,78378,38697,39681,34720,35597,2762,2782,132,131,439,541,886,845
19,Bedford County,2018,78882,38866,40016,34859,35853,2788,2842,141,136,420,537,907,899
19,Bedford County,2019,78997,38873,40124,34822,35928,2825,2872,137,140,430,545,944,926
21,Bland County,2010,6799,3749,3050,3511,2988,196,31,0,1,13,8,27,12
21,Bland County,2011,6773,3743,3030,3499,2964,199,32,0,1,14,10,27,13
21,Bland County,2012,6692,3713,2979,3471,2917,197,32,1,3,13,8,28,12
21,Bland County,2013,6673,3692,2981,3433,2906,210,37,3,6,14,9,29,12
21,Bland County,2014,6583,3642,2941,3386,2865,205,36,2,4,17,10,29,15
21,Bland County,2015,6532,3587,2945,3329,2870,204,37,5,5,17,11,30,15
21,Bland County,2016,6472,3552,2920,3290,2835,206,41,5,5,18,13,33,18
21,Bland County,2017,6354,3489,2865,3228,2775,201,41,7,5,20,15,34,15
21,Bland County,2018,6303,3452,2851,3195,2755,198,45,5,6,20,16,37,19
21,Bland County,2019,6280,3444,2836,3180,2739,204,46,5,6,19,17,40,22
23,Botetourt County,2010,33199,16441,16758,15616,15932,558,481,49,39,71,111,181,178
23,Botetourt County,2011,33005,16324,16681,15474,15829,581,494,44,35,69,124,188,207
23,Botetourt County,2012,33123,16398,16725,15517,15841,596,499,51,42,67,134,212,208
23,Botetourt County,2013,32994,16330,16664,15452,15779,585,494,47,41,73,138,231,230
23,Botetourt County,2014,33080,16375,16705,15448,15814,601,491,53,42,79,146,246,232
23,Botetourt County,2015,33380,16534,16846,15585,15939,595,489,58,45,85,147,267,251
23,Botetourt County,2016,33252,16473,16779,15538,15871,573,484,55,41,90,158,285,260
23,Botetourt County,2017,33313,16513,16800,15553,15849,593,508,56,44,88,162,293,298
23,Botetourt County,2018,33352,16547,16805,15590,15839,570,504,55,43,95,177,301,302
23,Botetourt County,2019,33419,16594,16825,15586,15870,596,497,61,44,93,169,302,284
25,Brunswick County,2010,17402,9137,8265,3652,3482,5352,4654,24,22,21,28,181,109
25,Brunswick County,2011,17127,8963,8164,3617,3456,5205,4567,25,21,20,31,185,126
25,Brunswick County,2012,17032,8910,8122,3599,3471,5167,4504,28,23,26,34,182,121
25,Brunswick County,2013,16984,8973,8011,3611,3479,5214,4383,29,23,27,27,190,126
25,Brunswick County,2014,16825,8965,7860,3613,3441,5193,4260,29,22,42,37,199,125
25,Brunswick County,2015,16845,8993,7852,3654,3461,5162,4233,32,21,51,42,213,129
25,Brunswick County,2016,16618,8875,7743,3618,3412,5061,4160,33,27,65,46,212,142
25,Brunswick County,2017,16570,8824,7746,3590,3439,5032,4130,31,21,76,50,225,153
25,Brunswick County,2018,16336,8730,7606,3524,3381,4988,4027,34,21,84,53,230,155
25,Brunswick County,2019,16231,8701,7530,3520,3361,4934,3956,33,24,95,56,236,162
27,Buchanan County,2010,24084,12309,11775,11647,11626,568,56,9,16,26,28,53,46
27,Buchanan County,2011,23824,12190,11634,11507,11470,577,56,9,19,29,37,68,47
27,Buchanan County,2012,23822,12180,11642,11462,11464,603,57,9,17,33,46,76,52
27,Buchanan County,2013,23625,12049,11576,11306,11362,623,74,8,20,35,52,78,57
27,Buchanan County,2014,23152,11793,11359,11085,11146,591,78,10,19,37,58,81,62
27,Buchanan County,2015,22752,11557,11195,10843,10967,593,91,11,19,35,58,83,65
27,Buchanan County,2016,22212,11312,10900,10565,10667,616,94,11,20,34,57,83,77
27,Buchanan County,2017,21604,10915,10689,10249,10444,532,107,9,20,37,56,85,86
27,Buchanan County,2018,21369,10812,10557,10116,10297,562,123,10,20,38,56,85,91
27,Buchanan County,2019,21004,10638,10366,9920,10093,578,132,12,20,39,54,85,102
29,Buckingham County,2010,17091,9465,7626,5752,4954,3522,2481,32,24,35,30,176,108
29,Buckingham County,2011,17213,9523,7690,5829,5003,3497,2488,32,25,37,30,190,124
29,Buckingham County,2012,17068,9398,7670,5731,4961,3466,2502,32,23,38,30,208,145
29,Buckingham County,2013,17150,9416,7734,5763,5030,3447,2482,32,25,39,32,208,165
29,Buckingham County,2014,16931,9244,7687,5671,5019,3363,2450,33,26,38,29,218,163
29,Buckingham County,2015,17017,9340,7677,5719,4998,3399,2456,38,27,39,28,235,157
29,Buckingham County,2016,17051,9365,7686,5751,5023,3403,2429,37,28,39,33,237,164
29,Buckingham County,2017,17038,9417,7621,5764,4981,3417,2405,38,30,43,35,254,174
29,Buckingham County,2018,17043,9395,7648,5765,5016,3386,2387,40,31,42,33,245,177
29,Buckingham County,2019,17148,9417,7731,5788,5062,3376,2407,41,31,39,35,245,170
31,Campbell County,2010,54901,26688,28213,22165,23324,3739,4086,72,76,278,285,515,398
31,Campbell County,2011,54789,26645,28144,22092,23229,3763,4078,81,83,262,290,547,398
31,Campbell County,2012,54830,26572,28258,22031,23331,3751,4054,90,91,244,301,536,439
31,Campbell County,2013,55078,26800,28278,22144,23348,3848,4061,87,79,254,302,564,482
31,Campbell County,2014,55272,26879,28393,22164,23377,3888,4132,85,83,245,300,620,527
31,Campbell County,2015,55356,26846,28510,22092,23439,3914,4155,89,87,238,313,633,554
31,Campbell County,2016,55419,26858,28561,22043,23447,3914,4128,95,96,242,325,665,614
31,Campbell County,2017,55326,26818,28508,21947,23383,3936,4064,94,107,257,350,725,676
31,Campbell County,2018,55137,26765,28372,21876,23284,3958,4059,95,104,258,341,799,729
31,Campbell County,2019,54885,26668,28217,21704,23031,4022,4101,96,113,249,343,829,737
33,Caroline County,2010,28635,14103,14532,9399,9604,4124,4287,119,99,80,112,502,481
33,Caroline County,2011,28672,14137,14535,9445,9636,4100,4242,119,102,91,118,509,485
33,Caroline County,2012,28949,14272,14677,9603,9770,4068,4198,126,115,88,120,547,507
33,Caroline County,2013,29248,14403,14845,9715,9922,4063,4201,118,112,98,134,596,526
33,Caroline County,2014,29741,14654,15087,9895,10083,4106,4233,116,104,98,150,625,578
33,Caroline County,2015,29900,14740,15160,9987,10124,4087,4228,112,105,108,163,691,645
33,Caroline County,2016,30099,14807,15292,9996,10214,4108,4251,111,105,111,161,691,663
33,Caroline County,2017,30432,15021,15411,10157,10354,4103,4185,124,111,125,160,751,720
33,Caroline County,2018,30751,15216,15535,10252,10446,4210,4230,117,114,134,173,806,751
33,Caroline County,2019,30725,15213,15512,10200,10439,4200,4149,123,128,160,187,827,784
35,Carroll County,2010,30071,14829,15242,14570,15001,101,89,47,37,22,35,414,362
35,Carroll County,2011,30092,14869,15223,14605,14979,98,94,49,39,24,35,423,380
35,Carroll County,2012,29916,14816,15100,14534,14840,106,96,48,37,28,40,437,387
35,Carroll County,2013,29909,14798,15111,14502,14826,105,108,57,41,26,37,459,414
35,Carroll County,2014,29711,14699,15012,14392,14703,119,114,51,41,23,39,483,432
35,Carroll County,2015,29870,14750,15120,14408,14795,122,117,57,41,24,38,510,438
35,Carroll County,2016,29789,14749,15040,14399,14710,120,111,54,39,21,36,555,435
35,Carroll County,2017,29812,14790,15022,14428,14660,127,116,56,42,20,38,604,460
35,Carroll County,2018,29741,14732,15009,14354,14626,121,120,50,42,23,42,647,465
35,Carroll County,2019,29791,14782,15009,14349,14615,140,123,54,44,25,43,657,490
36,Charles City County,2010,7259,3568,3691,1562,1455,1679,1847,227,278,6,19,43,45
36,Charles City County,2011,7205,3580,3625,1582,1436,1663,1799,228,275,10,19,55,61
36,Charles City County,2012,7126,3550,3576,1567,1428,1652,1755,219,272,9,18,60,55
36,Charles City County,2013,7072,3506,3566,1575,1426,1605,1746,219,272,7,20,63,53
