fips,CTYNAME,YEAR,Total,Total_Males,Total_Female,White_Male,White_Female,Black_Male,Black_Female,Native_Amer_Male,Native_Amer_Female,Asian_Male,Asian_Female,Hispanic_Male,Hispanic_Female
67,Franklin County,2012,56290,27755,28535,24858,25584,2302,2331,137,110,118,143,787,668
67,Franklin County,2013,56269,27739,28530,24843,25598,2300,2317,130,107,108,139,775,702
67,Franklin County,2014,56258,27699,28559,24788,25587,2304,2350,130,112,100,130,752,711
67,Franklin County,2015,56227,27662,28565,24772,25636,2273,2299,135,114,113,137,758,728
67,Franklin County,2016,56158,27645,28513,24738,25580,2253,2257,132,114,115,143,793,738
67,Franklin County,2017,56315,27720,28595,24773,25637,2249,2255,136,111,115,146,814,758
67,Franklin County,2018,56191,27655,28536,24703,25643,2235,2205,140,110,121,148,837,790
67,Franklin County,2019,56042,27565,28477,24612,25590,2246,2184,145,117,113,150,816,797
69,Frederick County,2010,78550,39008,39542,35946,36545,1760,1537,172,163,415,576,2647,2524
69,Frederick County,2011,79512,39509,40003,36377,36914,1770,1577,175,170,446,604,2711,2607
69,Frederick County,2012,80229,39853,40376,36596,37195,1852,1586,168,163,453,639,2821,2651
69,Frederick County,2013,81474,40523,40951,37136,37677,1922,1626,176,169,481,680,2995,2772
69,Frederick County,2014,82714,41173,41541,37670,38194,1929,1603,179,163,529,726,3230,2964
69,Frederick County,2015,83493,41571,41922,38034,38555,1961,1594,180,155,535,736,3380,3109
69,Frederick County,2016,84638,42111,42527,38413,38996,2011,1650,197,170,585,767,3613,3288
69,Frederick County,2017,86456,43083,43373,39097,39607,2163,1758,210,177,618,823,3892,3525
69,Frederick County,2018,88173,43978,44195,39778,40268,2246,1821,236,176,655,851,4200,3808
69,Frederick County,2019,89313,44495,44818,40108,40759,2332,1893,244,187,688,885,4345,3980
71,Giles County,2010,17316,8484,8832,8217,8586,142,129,15,12,32,31,108,103
71,Giles County,2011,17151,8422,8729,8162,8474,135,128,15,13,32,33,109,105
71,Giles County,2012,17022,8382,8640,8124,8376,124,124,18,14,37,42,118,112
71,Giles County,2013,16988,8339,8649,8065,8380,124,124,20,15,47,51,118,115
71,Giles County,2014,16849,8291,8558,8013,8279,125,125,20,15,43,55,134,125
71,Giles County,2015,16762,8220,8542,7928,8266,131,118,22,16,42,55,132,139
71,Giles County,2016,16827,8249,8578,7963,8302,128,121,23,16,40,50,152,149
71,Giles County,2017,16754,8264,8490,7968,8211,132,123,21,14,43,50,142,132
71,Giles County,2018,16799,8279,8520,7980,8222,130,123,22,21,45,50,164,148
71,Giles County,2019,16720,8267,8453,7944,8153,142,125,24,22,46,51,158,149
73,Gloucester County,2010,36940,18296,18644,16100,16360,1592,1643,83,74,115,180,455,488
73,Gloucester County,2011,36889,18256,18633,16099,16363,1539,1622,85,72,113,180,475,504
73,Gloucester County,2012,36838,18228,18610,16080,16361,1512,1574,90,73,128,198,504,505
73,Gloucester County,2013,36768,18139,18629,16012,16349,1491,1589,104,83,116,202,523,531
73,Gloucester County,2014,37024,18312,18712,16174,16422,1472,1572,101,84,121,195,587,598
73,Gloucester County,2015,37010,18204,18806,16063,16529,1473,1549,98,91,119,203,583,616
73,Gloucester County,2016,37114,18334,18780,16141,16505,1488,1508,94,95,117,207,622,647
73,Gloucester County,2017,37295,18422,18873,16194,16586,1495,1532,94,98,113,198,671,681
73,Gloucester County,2018,37341,18378,18963,16115,16622,1512,1550,103,99,121,194,707,708
73,Gloucester County,2019,37348,18387,18961,16155,16644,1473,1510,104,108,134,199,693,718
75,Goochland County,2010,21744,10780,10964,8331,8678,2186,1997,26,29,106,129,213,242
75,Goochland County,2011,21374,10557,10817,8303,8598,1975,1911,29,31,116,136,215,248
75,Goochland County,2012,21273,10484,10789,8296,8605,1908,1862,28,31,116,136,228,254
75,Goochland County,2013,21565,10616,10949,8343,8715,1964,1885,33,32,122,144,221,268
75,Goochland County,2014,21849,10790,11059,8521,8832,1952,1876,35,30,132,151,247,289
75,Goochland County,2015,22165,10938,11227,8671,8989,1935,1882,37,31,138,155,258,301
75,Goochland County,2016,22485,11048,11437,8783,9215,1892,1841,34,31,149,167,289,336
75,Goochland County,2017,22703,11130,11573,8914,9382,1827,1793,35,37,162,168,289,353
75,Goochland County,2018,23219,11375,11844,9065,9577,1886,1830,41,44,171,188,319,377
75,Goochland County,2019,23753,11660,12093,9314,9792,1906,1837,41,44,198,211,339,396
77,Grayson County,2010,15497,7590,7907,7327,7667,172,153,17,14,4,17,236,182
77,Grayson County,2011,15366,7545,7821,7276,7569,169,155,20,14,6,18,234,190
77,Grayson County,2012,15143,7442,7701,7178,7441,167,161,21,14,6,18,233,194
77,Grayson County,2013,15128,7365,7763,7099,7487,166,159,23,14,6,20,228,203
77,Grayson County,2014,15922,8137,7785,7366,7475,659,190,23,14,7,20,267,192
77,Grayson County,2015,15959,8208,7751,7402,7442,690,187,25,15,7,20,273,206
77,Grayson County,2016,15867,8160,7707,7341,7387,696,190,24,15,8,20,298,220
77,Grayson County,2017,15697,8093,7604,7271,7283,700,176,24,21,7,24,310,236
77,Grayson County,2018,15635,8048,7587,7223,7268,692,191,30,21,8,22,317,257
77,Grayson County,2019,15550,7995,7555,7163,7218,694,199,29,22,9,23,332,263
79,Greene County,2010,18457,9077,9380,8141,8408,599,595,23,24,123,156,404,384
79,Greene County,2011,18667,9204,9463,8228,8468,642,599,24,25,122,165,433,412
79,Greene County,2012,18803,9236,9567,8267,8574,623,603,27,27,126,162,429,426
79,Greene County,2013,18848,9221,9627,8232,8596,629,611,31,33,131,163,449,488
79,Greene County,2014,19105,9359,9746,8320,8678,647,615,27,35,142,168,493,571
79,Greene County,2015,19183,9379,9804,8312,8741,660,600,31,34,140,169,514,571
79,Greene County,2016,19309,9449,9860,8353,8761,675,624,32,38,141,174,549,584
79,Greene County,2017,19593,9579,10014,8432,8843,691,669,37,37,152,197,560,578
79,Greene County,2018,19692,9605,10087,8434,8903,718,668,38,36,156,207,563,591
79,Greene County,2019,19819,9649,10170,8435,8923,750,700,43,44,167,227,591,605
81,Greensville County,2010,12234,7653,4581,2915,1844,4648,2675,14,15,23,14,121,61
81,Greensville County,2011,12001,7497,4504,2854,1790,4549,2642,14,14,27,23,136,59
81,Greensville County,2012,11745,7244,4501,2758,1788,4389,2628,14,15,31,34,144,60
81,Greensville County,2013,11689,7191,4498,2742,1801,4343,2607,14,15,31,36,156,63
81,Greensville County,2014,11564,7128,4436,2721,1774,4292,2560,14,16,31,44,161,68
81,Greensville County,2015,11786,7435,4351,2806,1737,4516,2500,14,17,31,44,179,84
81,Greensville County,2016,11500,7238,4262,2707,1674,4416,2477,16,17,34,44,178,95
81,Greensville County,2017,11569,7302,4267,2741,1693,4445,2465,15,17,33,47,188,102
81,Greensville County,2018,11432,7187,4245,2696,1671,4371,2459,15,17,33,47,200,114
81,Greensville County,2019,11336,7123,4213,2643,1638,4363,2460,15,17,33,46,194,122
83,Halifax County,2010,36206,17251,18955,10763,11484,6182,7153,51,49,73,72,315,270
83,Halifax County,2011,36000,17165,18835,10724,11439,6122,7074,53,47,80,77,327,272
83,Halifax County,2012,35738,17020,18718,10608,11345,6070,7027,49,49,94,83,345,289
83,Halifax County,2013,35386,16911,18475,10515,11191,6028,6937,54,47,97,91,351,303
83,Halifax County,2014,35204,16842,18362,10419,11135,6035,6844,61,51,104,104,371,297
83,Halifax County,2015,35103,16790,18313,10379,11078,6007,6838,60,55,107,115,379,310
83,Halifax County,2016,34990,16764,18226,10365,11007,5978,6798,67,56,102,123,392,311
83,Halifax County,2017,34575,16577,17998,10250,10879,5904,6692,65,61,100,125,396,327
83,Halifax County,2018,34181,16379,17802,10163,10747,5808,6632,68,56,96,130,388,322
83,Halifax County,2019,33911,16258,17653,10093,10653,5740,6565,70,54,103,134,411,335
85,Hanover County,2010,99902,49063,50839,42964,44293,4591,4847,198,220,624,752,1143,991
85,Hanover County,2011,99908,49037,50871,42855,44250,4605,4882,206,230,627,783,1185,1052
85,Hanover County,2012,100339,49241,51098,43007,44447,4646,4860,211,224,628,790,1249,1129
85,Hanover County,2013,101065,49570,51495,43311,44750,4643,4901,227,240,604,804,1345,1227
85,Hanover County,2014,101724,49875,51849,43546,45016,4619,4882,231,257,637,858,1389,1289
85,Hanover County,2015,103071,50624,52447,44142,45456,4646,4900,246,286,680,915,1514,1394
85,Hanover County,2016,104290,51149,53141,44534,45956,4718,4964,232,272,706,976,1572,1437
85,Hanover County,2017,105674,51819,53855,44933,46348,4876,5137,245,257,783,1071,1687,1504
85,Hanover County,2018,106886,52333,54553,45334,46882,4863,5149,269,273,845,1131,1708,1561
85,Hanover County,2019,107766,52782,54984,45537,47096,4993,5271,276,265,899,1195,1762,1585
87,Henrico County,2010,307253,144383,162870,89434,97679,41133,50960,606,585,10264,10365,7865,7220
87,Henrico County,2011,310430,146098,164332,90051,98123,41443,51308,589,574,10965,10914,8143,7513
87,Henrico County,2012,315587,148863,166724,90991,98944,42196,51984,600,591,11935,11667,8371,7773
87,Henrico County,2013,318640,150541,168099,91423,99083,42718,52524,585,592,12482,12202,8625,8027
87,Henrico County,2014,321835,152245,169590,91760,99044,43287,53165,585,582,13096,12953,8846,8232
87,Henrico County,2015,324375,153676,170699,91927,98789,43839,53822,572,568,13683,13569,9101,8284
87,Henrico County,2016,325931,154403,171528,91700,98449,44340,54355,598,573,13958,14010,9298,8491
87,Henrico County,2017,327559,155468,172091,91703,97888,44828,54896,578,586,14406,14453,9711,8748
87,Henrico County,2018,328993,156120,172873,91494,97583,45234,55511,560,607,14742,14774,10016,9097
87,Henrico County,2019,330818,156970,173848,91283,97334,45813,56322,584,574,15089,15063,10358,9376
89,Henry County,2010,54135,26065,28070,19800,21161,5650,6278,82,84,115,129,1376,1159
89,Henry County,2011,53552,25828,27724,19615,20890,5568,6193,83,91,122,133,1406,1179
89,Henry County,2012,53112,25611,27501,19478,20723,5480,6118,81,87,125,140,1439,1215
89,Henry County,2013,52748,25448,27300,19273,20494,5481,6137,92,84,134,154,1426,1213
89,Henry County,2014,52237,25203,27034,19067,20302,5418,6046,93,79,145,164,1414,1234
89,Henry County,2015,51940,25055,26885,18890,20153,5433,6034,86,77,139,153,1460,1279
89,Henry County,2016,51645,24878,26767,18633,19995,5478,6057,91,80,139,147,1468,1292
89,Henry County,2017,51346,24721,26625,18485,19799,5476,6095,88,86,141,151,1469,1326
89,Henry County,2018,51050,24540,26510,18319,19698,5468,6074,91,85,132,139,1494,1397
89,Henry County,2019,50557,24315,26242,18133,19492,5429,6005,94,86,123,131,1510,1416
91,Highland County,2010,2297,1145,1152,1134,1142,4,3,3,2,2,3,12,6
91,Highland County,2011,2260,1125,1135,1113,1123,5,5,3,2,2,3,12,6
91,Highland County,2012,2234,1103,1131,1090,1119,5,5,3,2,2,3,15,7
91,Highland County,2013,2205,1093,1112,1074,1098,6,6,4,2,6,4,17,7
91,Highland County,2014,2238,1124,1114,1098,1099,12,8,4,1,6,4,22,9
91,Highland County,2015,2196,1098,1098,1072,1083,12,8,4,1,6,4,21,9
91,Highland County,2016,2210,1111,1099,1082,1084,14,8,4,1,7,4,21,11
91,Highland County,2017,2217,1106,1111,1075,1093,14,10,6,1,7,5,21,9
91,Highland County,2018,2208,1100,1108,1071,1092,11,8,6,1,7,5,16,7
91,Highland County,2019,2190,1086,1104,1053,1085,15,9,6,1,7,7,16,7
