County,Year,Total,Total_Males,Total_Female,White_Male,White_Female,Black_Male,Black_Female,Native_Amer_Male,Native_Amer_Female,Hispanic_Male,Hispanic_Female,Asian_Pacific_Male,Asian_Pacific_Female
Gloucester County,2019,37348,18387,18961,16155,16644,1473,1510,104,108,693,718,148,212
Goochland County,2010,21744,10780,10964,8331,8678,2186,1997,26,29,213,242,109,130
Goochland County,2011,21374,10557,10817,8303,8598,1975,1911,29,31,215,248,123,138
Goochland County,2012,21273,10484,10789,8296,8605,1908,1862,28,31,228,254,123,138
Goochland County,2013,21565,10616,10949,8343,8715,1964,1885,33,32,221,268,129,146
Goochland County,2014,21849,10790,11059,8521,8832,1952,1876,35,30,247,289,139,153
Goochland County,2015,22165,10938,11227,8671,8989,1935,1882,37,31,258,301,145,158
Goochland County,2016,22485,11048,11437,8783,9215,1892,1841,34,31,289,336,156,170
Goochland County,2017,22703,11130,11573,8914,9382,1827,1793,35,37,289,353,169,171
Goochland County,2018,23219,11375,11844,9065,9577,1886,1830,41,44,319,377,178,191
Goochland County,2019,23753,11660,12093,9314,9792,1906,1837,41,44,339,396,205,214
Grayson County,2010,15497,7590,7907,7327,7667,172,153,17,14,236,182,6,19
Grayson County,2011,15366,7545,7821,7276,7569,169,155,20,14,234,190,8,21
Grayson County,2012,15143,7442,7701,7178,7441,167,161,21,14,233,194,8,21
Grayson County,2013,15128,7365,7763,7099,7487,166,159,23,14,228,203,8,23
Grayson County,2014,15922,8137,7785,7366,7475,659,190,23,14,267,192,9,23
Grayson County,2015,15959,8208,7751,7402,7442,690,187,25,15,273,206,9,23
Grayson County,2016,15867,8160,7707,7341,7387,696,190,24,15,298,220,10,23
Grayson County,2017,15697,8093,7604,7271,7283,700,176,24,21,310,236,10,27
Grayson County,2018,15635,8048,7587,7223,7268,692,191,30,21,317,257,10,25
Grayson County,2019,15550,7995,7555,7163,7218,694,199,29,22,332,263,11,26
Greene County,2010,18457,9077,9380,8141,8408,599,595,23,24,404,384,128,158
Greene County,2011,18667,9204,9463,8228,8468,642,599,24,25,433,412,126,168
Greene County,2012,18803,9236,9567,8267,8574,623,603,27,27,429,426,130,165
Greene County,2013,18848,9221,9627,8232,8596,629,611,31,33,449,488,136,166
Greene County,2014,19105,9359,9746,8320,8678,647,615,27,35,493,571,147,172
Greene County,2015,19183,9379,9804,8312,8741,660,600,31,34,514,571,148,178
Greene County,2016,19309,9449,9860,8353,8761,675,624,32,38,549,584,148,182
Greene County,2017,19593,9579,10014,8432,8843,691,669,37,37,560,578,159,203
Greene County,2018,19692,9605,10087,8434,8903,718,668,38,36,563,591,163,213
Greene County,2019,19819,9649,10170,8435,8923,750,700,43,44,591,605,174,233
Greensville County,2010,12234,7653,4581,2915,1844,4648,2675,14,15,121,61,24,14
Greensville County,2011,12001,7497,4504,2854,1790,4549,2642,14,14,136,59,28,23
Greensville County,2012,11745,7244,4501,2758,1788,4389,2628,14,15,144,60,32,34
Greensville County,2013,11689,7191,4498,2742,1801,4343,2607,14,15,156,63,32,36
Greensville County,2014,11564,7128,4436,2721,1774,4292,2560,14,16,161,68,32,44
Greensville County,2015,11786,7435,4351,2806,1737,4516,2500,14,17,179,84,32,44
Greensville County,2016,11500,7238,4262,2707,1674,4416,2477,16,17,178,95,35,44
Greensville County,2017,11569,7302,4267,2741,1693,4445,2465,15,17,188,102,34,47
Greensville County,2018,11432,7187,4245,2696,1671,4371,2459,15,17,200,114,34,47
Greensville County,2019,11336,7123,4213,2643,1638,4363,2460,15,17,194,122,34,46
Halifax County,2010,36206,17251,18955,10763,11484,6182,7153,51,49,315,270,75,76
Halifax County,2011,36000,17165,18835,10724,11439,6122,7074,53,47,327,272,82,81
Halifax County,2012,35738,17020,18718,10608,11345,6070,7027,49,49,345,289,95,87
Halifax County,2013,35386,16911,18475,10515,11191,6028,6937,54,47,351,303,98,95
Halifax County,2014,35204,16842,18362,10419,11135,6035,6844,61,51,371,297,107,108
Halifax County,2015,35103,16790,18313,10379,11078,6007,6838,60,55,379,310,110,120
Halifax County,2016,34990,16764,18226,10365,11007,5978,6798,67,56,392,311,106,128
Halifax County,2017,34575,16577,17998,10250,10879,5904,6692,65,61,396,327,104,129
Halifax County,2018,34181,16379,17802,10163,10747,5808,6632,68,56,388,322,100,134
Halifax County,2019,33911,16258,17653,10093,10653,5740,6565,70,54,411,335,107,137
Hanover County,2010,99902,49063,50839,42964,44293,4591,4847,198,220,1143,991,649,777
Hanover County,2011,99908,49037,50871,42855,44250,4605,4882,206,230,1185,1052,653,808
Hanover County,2012,100339,49241,51098,43007,44447,4646,4860,211,224,1249,1129,653,815
Hanover County,2013,101065,49570,51495,43311,44750,4643,4901,227,240,1345,1227,629,832
Hanover County,2014,101724,49875,51849,43546,45016,4619,4882,231,257,1389,1289,665,888
Hanover County,2015,103071,50624,52447,44142,45456,4646,4900,246,286,1514,1394,710,946
Hanover County,2016,104290,51149,53141,44534,45956,4718,4964,232,272,1572,1437,737,1006
Hanover County,2017,105674,51819,53855,44933,46348,4876,5137,245,257,1687,1504,815,1103
Hanover County,2018,106886,52333,54553,45334,46882,4863,5149,269,273,1708,1561,880,1164
Hanover County,2019,107766,52782,54984,45537,47096,4993,5271,276,265,1762,1585,937,1224
Henrico County,2010,307253,144383,162870,89434,97679,41133,50960,606,585,7865,7220,10361,10445
Henrico County,2011,310430,146098,164332,90051,98123,41443,51308,589,574,8143,7513,11069,10992
Henrico County,2012,315587,148863,166724,90991,98944,42196,51984,600,591,8371,7773,12041,11749
Henrico County,2013,318640,150541,168099,91423,99083,42718,52524,585,592,8625,8027,12589,12288
Henrico County,2014,321835,152245,169590,91760,99044,43287,53165,585,582,8846,8232,13194,13042
Henrico County,2015,324375,153676,170699,91927,98789,43839,53822,572,568,9101,8284,13790,13656
Henrico County,2016,325931,154403,171528,91700,98449,44340,54355,598,573,9298,8491,14064,14104
Henrico County,2017,327559,155468,172091,91703,97888,44828,54896,578,586,9711,8748,14510,14555
Henrico County,2018,328993,156120,172873,91494,97583,45234,55511,560,607,10016,9097,14852,14882
Henrico County,2019,330818,156970,173848,91283,97334,45813,56322,584,574,10358,9376,15197,15185
Henry County,2010,54135,26065,28070,19800,21161,5650,6278,82,84,1376,1159,126,134
Henry County,2011,53552,25828,27724,19615,20890,5568,6193,83,91,1406,1179,133,138
Henry County,2012,53112,25611,27501,19478,20723,5480,6118,81,87,1439,1215,136,145
Henry County,2013,52748,25448,27300,19273,20494,5481,6137,92,84,1426,1213,143,160
Henry County,2014,52237,25203,27034,19067,20302,5418,6046,93,79,1414,1234,154,170
Henry County,2015,51940,25055,26885,18890,20153,5433,6034,86,77,1460,1279,155,160
Henry County,2016,51645,24878,26767,18633,19995,5478,6057,91,80,1468,1292,161,157
Henry County,2017,51346,24721,26625,18485,19799,5476,6095,88,86,1469,1326,160,158
Henry County,2018,51050,24540,26510,18319,19698,5468,6074,91,85,1494,1397,152,148
Henry County,2019,50557,24315,26242,18133,19492,5429,6005,94,86,1510,1416,142,140
Highland County,2010,2297,1145,1152,1134,1142,4,3,3,2,12,6,2,3
Highland County,2011,2260,1125,1135,1113,1123,5,5,3,2,12,6,2,3
Highland County,2012,2234,1103,1131,1090,1119,5,5,3,2,15,7,2,3
Highland County,2013,2205,1093,1112,1074,1098,6,6,4,2,17,7,6,4
Highland County,2014,2238,1124,1114,1098,1099,12,8,4,1,22,9,6,4
Highland County,2015,2196,1098,1098,1072,1083,12,8,4,1,21,9,6,4
Highland County,2016,2210,1111,1099,1082,1084,14,8,4,1,21,11,7,4
Highland County,2017,2217,1106,1111,1075,1093,14,10,6,1,21,9,7,5
Highland County,2018,2208,1100,1108,1071,1092,11,8,6,1,16,7,7,5
Highland County,2019,2190,1086,1104,1053,1085,15,9,6,1,16,7,7,7
Isle of Wight County,2010,35316,17204,18112,12667,12845,4056,4714,67,69,323,344,131,174
Isle of Wight County,2011,35296,17208,18088,12708,12851,4001,4685,75,70,353,378,136,176
Isle of Wight County,2012,35343,17316,18027,12753,12836,4021,4602,81,73,372,400,146,188
Isle of Wight County,2013,35526,17395,18131,12805,12974,4022,4537,82,76,423,441,148,195
Isle of Wight County,2014,35865,17551,18314,12993,13153,3984,4525,76,80,488,459,156,202
Isle of Wight County,2015,36159,17707,18452,13190,13307,3921,4472,77,76,521,480,159,213
Isle of Wight County,2016,36326,17798,18528,13248,13346,3935,4476,87,72,548,481,149,228
Isle of Wight County,2017,36571,17892,18679,13224,13423,4021,4525,89,75,582,523,147,220
Isle of Wight County,2018,36972,18092,18880,13338,13548,4087,4561,89,82,615,582,158,230
Isle of Wight County,2019,37109,18186,18923,13408,13573,4068,4549,95,90,649,609,159,228
James City County,2010,67661,32661,35000,26739,28510,4315,4693,110,101,1569,1520,714,919
James City County,2011,68297,32962,35335,26956,28784,4363,4728,116,112,1673,1643,731,916
James City County,2012,69409,33543,35866,27367,29059,4452,4875,128,118,1776,1769,756,962
James City County,2013,70612,34096,36516,27658,29494,4627,5007,127,120,1853,1851,790,982
James City County,2014,72064,34770,37294,28208,30082,4653,5058,132,125,1927,1930,824,1045
James City County,2015,72819,35132,37687,28456,30413,4736,5086,141,130,1955,2004,811,1070
James City County,2016,73930,35609,38321,28763,30866,4823,5210,165,138,2053,2062,853,1108
James City County,2017,75274,36307,38967,29290,31337,4938,5300,167,146,2168,2159,867,1163
James City County,2018,76033,36759,39274,29605,31486,5021,5358,164,152,2270,2214,887,1195
James City County,2019,76523,36985,39538,29791,31682,4995,5438,169,167,2372,2320,899,1193
King and Queen County,2010,6976,3479,3497,2384,2341,956,1036,72,48,128,69,5,13
King and Queen County,2011,6987,3503,3484,2421,2339,932,1017,71,46,139,88,8,15
King and Queen County,2012,7009,3495,3514,2438,2400,897,984,74,47,141,97,9,15
King and Queen County,2013,7029,3538,3491,2461,2375,908,980,77,53,141,100,11,15
King and Queen County,2014,7082,3563,3519,2465,2389,914,981,77,55,120,100,11,19
King and Queen County,2015,7085,3583,3502,2496,2408,906,946,73,56,128,103,8,17
King and Queen County,2016,7054,3597,3457,2465,2350,946,949,73,57,127,97,11,20
King and Queen County,2017,6999,3557,3442,2466,2366,910,919,69,57,129,92,11,20
King and Queen County,2018,7045,3573,3472,2459,2360,924,940,72,54,136,97,12,22
King and Queen County,2019,7025,3580,3445,2505,2339,902,938,70,50,135,85,13,24
King George County,2010,23696,11932,11764,9338,9006,2097,2192,65,61,404,387,121,175
King George County,2011,24273,12205,12068,9575,9260,2091,2186,64,67,471,445,130,185
King George County,2012,24606,12400,12206,9689,9346,2132,2207,73,72,555,487,139,191
King George County,2013,24897,12521,12376,9825,9513,2107,2177,72,79,543,485,146,208
King George County,2014,25260,12765,12495,9997,9610,2144,2181,80,79,604,488,149,220
King George County,2015,25414,12775,12639,9977,9741,2127,2159,83,85,632,556,162,235
King George County,2016,25947,13146,12801,10259,9939,2155,2108,88,83,691,617,165,227
King George County,2017,26337,13352,12985,10416,10072,2154,2132,93,90,727,669,186,240
King George County,2018,26612,13469,13143,10540,10191,2140,2147,108,104,827,743,197,242
King George County,2019,26836,13586,13250,10626,10274,2145,2166,112,106,827,741,212,249
King William County,2010,15999,7795,8204,6113,6334,1328,1505,123,106,176,158,57,72
King William County,2011,16014,7826,8188,6147,6321,1332,1494,119,101,176,157,57,76
King William County,2012,15977,7816,8161,6163,6303,1303,1484,121,105,185,167,56,79
King William County,2013,16092,7862,8230,6222,6372,1279,1482,124,101,204,168,58,83
King William County,2014,16149,7880,8269,6245,6389,1273,1493,120,102,214,192,72,89
King William County,2015,16282,7981,8301,6316,6408,1287,1504,128,109,225,200,84,100
King William County,2016,16405,8014,8391,6369,6483,1251,1512,126,109,219,201,85,106
King William County,2017,16684,8133,8551,6505,6656,1214,1470,129,108,226,202,90,120
King William County,2018,16919,8271,8648,6628,6775,1210,1443,139,111,243,202,88,111
King William County,2019,17148,8388,8760,6717,6891,1221,1424,143,113,268,223,87,110
Lancaster County,2010,11362,5324,6038,3767,4203,1469,1733,8,14,53,67,27,38
Lancaster County,2011,11275,5323,5952,3742,4175,1488,1672,8,13,67,80,30,38
Lancaster County,2012,11125,5227,5898,3669,4142,1465,1640,9,14,87,82,31,42
Lancaster County,2013,10959,5138,5821,3572,4049,1465,1652,10,15,86,85,31,43
Lancaster County,2014,10861,5123,5738,3585,3988,1435,1627,10,16,91,82,30,43
Lancaster County,2015,10825,5115,5710,3569,3959,1425,1618,15,24,115,91,36,47
Lancaster County,2016,10771,5067,5704,3525,3939,1417,1621,9,23,123,91,39,45
Lancaster County,2017,10725,5063,5662,3516,3924,1415,1606,10,23,129,95,39,44
Lancaster County,2018,10696,5051,5645,3473,3871,1443,1633,11,26,153,104,36,44
Lancaster County,2019,10603,5010,5593,3461,3854,1407,1604,11,27,157,112,38,46
Lee County,2010,25605,13355,12250,12202,12055,915,65,79,28,347,59,43,25
Lee County,2011,25544,13306,12238,12145,12028,918,66,78,29,357,69,42,27
Lee County,2012,25428,13262,12166,12105,11962,915,66,76,27,356,74,42,27
Lee County,2013,25080,13120,11960,11942,11754,929,65,77,27,365,79,43,26
Lee County,2014,24724,12946,11778,11741,11561,949,69,78,28,370,77,49,29
Lee County,2015,24595,12897,11698,11679,11470,965,73,78,28,383,84,48,30
Lee County,2016,24165,12622,11543,11480,11305,880,78,76,28,373,86,49,28
Lee County,2017,23900,12436,11464,11379,11232,807,77,71,26,350,97,43,28
Lee County,2018,23656,12297,11359,11262,11126,789,77,67,26,357,99,43,28
Lee County,2019,23423,12215,11208,11167,10973,793,79,65,27,359,102,51,30
Loudoun County,2010,315478,155691,159787,115186,116712,11507,12304,718,741,19909,19342,23222,24877
Loudoun County,2011,326327,161277,165050,118634,119744,11926,12702,736,741,21019,20444,24611,26358
Loudoun County,2012,337847,167149,170698,122071,122864,12436,13081,774,761,22086,21536,26208,28183
Loudoun County,2013,349915,173265,176650,125364,126198,13004,13454,820,805,23108,22570,28155,30083
Loudoun County,2014,362206,179464,182742,128261,129055,13576,13874,823,821,23992,23576,30526,32528
Loudoun County,2015,374014,185259,188755,130759,131590,14218,14446,820,844,25043,24724,32836,34924
Loudoun County,2016,385546,190922,194624,133131,134014,14876,14967,882,885,26114,25813,35050,37346
Loudoun County,2017,397049,196773,200276,135307,136362,15563,15588,934,898,27256,26935,37541,39696
Loudoun County,2018,405522,200940,204582,136699,137935,16201,16142,932,931,27833,27832,39403,41528
Loudoun County,2019,413538,205164,208374,138227,139025,16758,16707,973,945,28785,28723,41216,43361
Louisa County,2010,33309,16399,16910,13060,13343,2847,3046,66,63,425,360,65,111
Louisa County,2011,33465,16492,16973,13238,13434,2771,3005,64,64,446,390,64,106
Louisa County,2012,33494,16516,16978,13272,13457,2738,2980,71,69,447,386,65,113
Louisa County,2013,33987,16764,17223,13517,13648,2759,3023,76,75,436,395,65,116
Louisa County,2014,34310,16926,17384,13680,13815,2736,2974,81,82,457,407,85,130
Louisa County,2015,34611,17049,17562,13742,13971,2754,2983,89,94,491,407,91,133
Louisa County,2016,35304,17426,17878,14064,14305,2771,2938,95,96,546,436,97,140
Louisa County,2017,35912,17774,18138,14323,14514,2806,2977,108,94,573,469,112,145
Louisa County,2018,36784,18190,18594,14697,14943,2838,2981,121,102,617,509,115,152
Louisa County,2019,37591,18594,18997,15063,15315,2858,2988,119,100,674,577,115,152
Lunenburg County,2010,12910,6855,6055,4217,3878,2510,2026,17,25,277,191,16,24
Lunenburg County,2011,12911,6879,6032,4245,3898,2490,1970,17,27,284,198,23,27
Lunenburg County,2012,12638,6675,5963,4152,3850,2382,1947,19,28,283,201,26,27
Lunenburg County,2013,12532,6675,5857,4141,3781,2389,1905,19,28,287,201,23,27
Lunenburg County,2014,12482,6567,5915,4080,3808,2339,1925,21,29,293,228,25,30
Lunenburg County,2015,12348,6507,5841,4027,3755,2312,1904,29,27,317,234,25,30
Lunenburg County,2016,12319,6523,5796,4033,3760,2316,1854,29,29,341,243,27,31
Lunenburg County,2017,12333,6529,5804,4039,3753,2312,1861,33,35,361,253,30,28
Lunenburg County,2018,12215,6468,5747,3970,3718,2314,1842,32,33,371,267,29,29
Lunenburg County,2019,12196,6450,5746,3964,3708,2293,1837,34,32,391,266,32,31
Madison County,2010,13300,6487,6813,5615,5973,695,617,20,10,126,106,31,50
Madison County,2011,13141,6404,6737,5544,5894,675,608,20,8,129,115,32,52
Madison County,2012,13132,6380,6752,5520,5901,672,616,22,9,144,125,31,49
Madison County,2013,13090,6344,6746,5508,5903,641,601,21,12,147,132,30,49
Madison County,2014,13030,6323,6707,5493,5842,638,619,22,12,155,144,30,49
Madison County,2015,13047,6328,6719,5505,5850,633,606,20,10,169,162,31,51
Madison County,2016,13081,6343,6738,5521,5876,617,593,19,10,186,174,34,55
Madison County,2017,13212,6399,6813,5577,5951,626,589,20,12,196,188,31,56
Madison County,2018,13248,6403,6845,5561,5974,630,575,19,16,198,205,33,60
Madison County,2019,13261,6424,6837,5566,5955,641,588,19,17,201,227,34,53
Mathews County,2010,8974,4364,4610,3852,4084,399,415,15,7,53,48,12,25
Mathews County,2011,8944,4362,4582,3852,4064,390,400,15,9,68,62,12,29
Mathews County,2012,8911,4330,4581,3824,4050,386,407,15,8,72,75,17,31
Mathews County,2013,8898,4303,4595,3797,4050,383,410,15,8,83,96,17,36
Mathews County,2014,8813,4254,4559,3757,4009,374,411,16,7,80,90,18,44
Mathews County,2015,8834,4274,4560,3756,3984,385,423,16,7,96,100,19,50
Mathews County,2016,8769,4232,4537,3729,3975,371,407,20,8,117,101,20,51
Mathews County,2017,8709,4209,4500,3723,3938,351,401,17,10,125,99,20,53
Mathews County,2018,8792,4250,4542,3758,3988,354,399,17,10,137,97,25,53
Mathews County,2019,8834,4277,4557,3777,4006,359,388,18,10,142,98,30,59
Mecklenburg County,2010,32708,16201,16507,9782,10090,6046,6046,41,33,490,311,115,121
Mecklenburg County,2011,32560,16152,16408,9739,10074,6005,5939,47,34,489,320,127,129
Mecklenburg County,2012,31686,15343,16343,9484,10068,5457,5846,46,40,457,308,131,142
Mecklenburg County,2013,31239,15133,16106,9375,9983,5357,5701,47,42,445,314,120,133
Mecklenburg County,2014,31104,15082,16022,9416,9989,5247,5603,46,40,465,333,125,133
Mecklenburg County,2015,30922,14946,15976,9324,9931,5203,5587,47,44,491,356,129,140
Mecklenburg County,2016,30813,14960,15853,9369,9867,5152,5515,54,49,532,362,134,152
Mecklenburg County,2017,30693,14954,15739,9393,9794,5103,5485,54,43,559,365,138,145
Mecklenburg County,2018,30624,14905,15719,9333,9739,5095,5501,58,54,548,380,141,147
Mecklenburg County,2019,30587,14899,15688,9320,9720,5096,5474,59,58,568,387,140,147
Middlesex County,2010,10980,5475,5505,4304,4467,1051,920,18,17,116,56,14,29
Middlesex County,2011,10854,5370,5484,4237,4442,998,918,19,20,119,66,16,31
Middlesex County,2012,10850,5387,5463,4217,4398,1022,935,24,19,140,75,19,33
Middlesex County,2013,10781,5355,5426,4188,4370,1016,923,26,18,138,88,20,33
Middlesex County,2014,10657,5248,5409,4118,4350,975,918,27,20,143,96,19,31
Middlesex County,2015,10686,5279,5407,4124,4364,1000,903,27,20,145,103,18,31
Middlesex County,2016,10749,5267,5482,4164,4426,948,913,27,24,145,111,21,33
Middlesex County,2017,10625,5173,5452,4098,4404,915,896,30,27,151,130,21,31
Middlesex County,2018,10733,5254,5479,4146,4420,916,887,30,28,163,137,24,32
Middlesex County,2019,10582,5191,5391,4088,4387,913,846,30,27,158,150,26,31
Montgomery County,2010,94557,48890,45667,42801,40596,2008,1780,145,115,1387,1201,2934,2343
Montgomery County,2011,94737,48947,45790,42736,40662,2011,1775,150,119,1412,1231,3018,2362
Montgomery County,2012,95652,49578,46074,43078,40825,2047,1768,149,126,1498,1257,3165,2435
Montgomery County,2013,96589,50207,46382,43466,41063,2097,1772,152,134,1528,1289,3301,2483
Montgomery County,2014,97107,50574,46533,43562,41093,2175,1821,145,140,1608,1312,3440,2542
Montgomery County,2015,97317,50560,46757,43358,41144,2177,1839,155,139,1628,1353,3589,2687
Montgomery County,2016,98172,51015,47157,43660,41409,2214,1884,149,121,1669,1394,3630,2768
Montgomery County,2017,98142,50884,47258,43459,41450,2243,1885,149,124,1748,1458,3630,2803
Montgomery County,2018,98532,51081,47451,43645,41601,2245,1869,161,142,1753,1485,3600,2824
Montgomery County,2019,98535,50976,47559,43538,41669,2313,1925,165,142,1869,1555,3532,2768
Nelson County,2010,14978,7280,7698,6192,6452,918,1051,32,24,272,188,25,53
Nelson County,2011,15020,7337,7683,6236,6439,917,1030,33,25,288,211,28,55
Nelson County,2012,14802,7201,7601,6147,6358,860,1014,36,29,273,202,32,60
Nelson County,2013,14800,7210,7590,6161,6350,843,987,39,29,294,223,38,70
Nelson County,2014,14863,7196,7667,6151,6431,833,973,42,34,300,241,39,71
Nelson County,2015,14760,7170,7590,6131,6404,827,939,42,35,310,263,41,64
Nelson County,2016,14805,7199,7606,6151,6420,829,929,43,37,325,280,44,66
Nelson County,2017,14800,7173,7627,6140,6436,805,925,42,37,342,291,46,71
Nelson County,2018,14862,7176,7686,6159,6474,783,924,44,36,345,293,43,82
Nelson County,2019,14930,7216,7714,6185,6500,774,927,47,36,356,286,43,76
New Kent County,2010,18543,9436,9107,7704,7544,1358,1166,111,83,222,173,73,96
New Kent County,2011,18764,9539,9225,7825,7640,1340,1185,111,75,242,174,76,104
New Kent County,2012,19149,9702,9447,7954,7824,1370,1204,107,78,260,198,77,115
New Kent County,2013,19516,9927,9589,8159,7932,1383,1218,109,86,283,209,82,121
New Kent County,2014,20019,10181,9838,8335,8099,1425,1271,115,87,322,215,81,128
New Kent County,2015,20377,10383,9994,8483,8274,1456,1229,117,100,339,222,87,135
New Kent County,2016,21009,10720,10289,8747,8524,1503,1248,123,107,383,251,93,143
New Kent County,2017,21638,11029,10609,8969,8757,1561,1319,126,112,443,305,96,143
New Kent County,2018,22317,11384,10933,9146,8958,1667,1393,135,116,464,335,116,164
New Kent County,2019,23091,11758,11333,9407,9255,1752,1448,140,124,494,344,125,174
Northampton County,2010,12409,5938,6471,3743,3816,2042,2508,16,12,532,360,53,58
Northampton County,2011,12408,5901,6507,3725,3813,2008,2531,16,14,555,385,57,64
Northampton County,2012,12212,5839,6373,3689,3722,1979,2484,15,15,565,381,57,62
Northampton County,2013,12030,5764,6266,3665,3693,1913,2412,14,14,583,379,58,66
Northampton County,2014,12038,5781,6257,3693,3704,1885,2379,21,17,593,406,60,60
Northampton County,2015,12080,5785,6295,3664,3743,1908,2384,25,20,575,423,61,59
Northampton County,2016,12002,5741,6261,3637,3728,1879,2342,27,18,583,443,66,66
Northampton County,2017,11872,5689,6183,3634,3705,1830,2289,27,18,595,432,69,66
Northampton County,2018,11761,5610,6151,3613,3722,1756,2249,29,16,612,451,75,67
Northampton County,2019,11710,5608,6102,3641,3700,1735,2217,28,18,648,460,75,72
Northumberland County,2010,12355,6016,6339,4442,4563,1476,1666,7,13,222,164,23,26
Northumberland County,2011,12451,6065,6386,4476,4609,1490,1661,6,18,215,177,23,26
Northumberland County,2012,12422,6070,6352,4482,4589,1485,1642,8,21,227,188,22,27
Northumberland County,2013,12298,6044,6254,4493,4496,1445,1632,5,21,230,185,24,31
Northumberland County,2014,12256,6035,6221,4508,4493,1424,1600,5,18,247,200,23,34
Northumberland County,2015,12241,6000,6241,4485,4511,1404,1577,7,21,245,214,24,39
Northumberland County,2016,12176,5993,6183,4458,4446,1412,1575,10,20,228,211,28,40
Northumberland County,2017,12271,6025,6246,4442,4468,1457,1597,12,17,238,213,30,42
Northumberland County,2018,12168,5972,6196,4425,4420,1414,1589,12,15,244,211,31,42
Northumberland County,2019,12095,5925,6170,4376,4381,1420,1602,14,15,246,217,30,45
Nottoway County,2010,15840,8365,7475,4750,4479,3461,2824,46,47,363,244,43,22
Nottoway County,2011,15894,8437,7457,4783,4448,3490,2821,46,48,360,249,45,23
Nottoway County,2012,15756,8407,7349,4772,4370,3458,2780,47,49,360,239,46,29
Nottoway County,2013,15637,8317,7320,4689,4351,3442,2764,48,50,364,250,52,32
Nottoway County,2014,15511,8209,7302,4637,4346,3380,2722,52,53,357,243,47,40
Nottoway County,2015,15606,8416,7190,4686,4280,3534,2678,51,57,378,261,50,34
Nottoway County,2016,15495,8405,7090,4660,4235,3545,2631,50,54,384,271,51,38
Nottoway County,2017,15432,8356,7076,4645,4241,3501,2593,50,59,390,282,55,39
Nottoway County,2018,15400,8328,7072,4630,4238,3480,2590,52,60,403,308,54,40
Nottoway County,2019,15232,8241,6991,4567,4196,3446,2544,56,60,416,313,61,44
Orange County,2010,33578,16458,17120,13779,14329,2160,2163,45,56,623,527,116,174
Orange County,2011,33994,16631,17363,13923,14460,2151,2227,56,68,664,562,120,189
Orange County,2012,34275,16823,17452,14041,14469,2178,2259,64,71,723,614,136,211
Orange County,2013,34620,17005,17615,14217,14627,2180,2259,69,72,803,661,138,227
Orange County,2014,34923,17079,17844,14214,14803,2225,2278,65,86,824,677,160,228
Orange County,2015,35178,17200,17978,14303,14875,2255,2320,61,83,869,715,160,224
Orange County,2016,35354,17252,18102,14283,14934,2304,2355,67,91,911,768,176,245
Orange County,2017,35870,17450,18420,14352,15170,2399,2384,78,103,959,806,181,249
Orange County,2018,36598,17825,18773,14668,15383,2415,2453,82,107,1053,867,188,250
Orange County,2019,37051,18116,18935,14899,15574,2458,2454,88,108,1122,935,189,250
Page County,2010,24065,11835,12230,11396,11815,267,215,24,21,202,171,32,58
Page County,2011,23957,11750,12207,11304,11775,273,223,24,23,219,177,32,62
Page County,2012,23841,11721,12120,11251,11689,266,220,31,24,223,187,45,64
Page County,2013,23723,11662,12061,11193,11635,256,213,28,23,226,188,47,72
Page County,2014,23784,11722,12062,11233,11620,263,220,31,25,240,205,50,73
Page County,2015,23662,11682,11980,11188,11533,260,215,32,25,233,209,47,69
Page County,2016,23619,11624,11995,11141,11549,253,211,35,26,233,210,48,70
Page County,2017,23784,11733,12051,11223,11578,273,223,35,32,243,223,51,71
Page County,2018,23972,11842,12130,11305,11644,285,217,34,32,260,255,55,74
Page County,2019,23902,11826,12076,11266,11566,301,231,41,31,274,253,59,72
Patrick County,2010,18470,9075,9395,8389,8689,535,548,38,36,232,206,22,35
Patrick County,2011,18335,9004,9331,8316,8627,534,538,38,38,242,207,20,36
Patrick County,2012,18333,9014,9319,8319,8625,531,525,40,38,249,206,22,39
Patrick County,2013,18249,9013,9236,8294,8553,543,515,42,42,259,212,26,38
Patrick County,2014,18175,8949,9226,8250,8557,534,493,42,43,265,216,26,40
Patrick County,2015,17960,8871,9089,8184,8428,510,473,42,43,282,227,30,41
Patrick County,2016,17796,8788,9008,8111,8332,504,479,45,45,295,237,26,38
Patrick County,2017,17713,8773,8940,8074,8282,516,463,44,45,295,253,27,42
Patrick County,2018,17663,8741,8922,8053,8270,499,454,45,49,296,265,27,44
Patrick County,2019,17608,8736,8872,8050,8235,495,432,49,51,295,263,27,44
Pittsylvania County,2010,63586,31356,32230,23995,24435,6858,7276,85,66,793,575,93,118
Pittsylvania County,2011,63262,31108,32154,23850,24393,6712,7213,93,74,799,619,95,132
Pittsylvania County,2012,62895,30942,31953,23710,24283,6676,7115,90,78,824,623,105,140
Pittsylvania County,2013,62554,30767,31787,23571,24205,6602,7008,89,79,843,664,117,147
Pittsylvania County,2014,62371,30605,31766,23469,24154,6515,7013,92,75,819,676,129,153
Pittsylvania County,2015,62010,30491,31519,23356,23970,6495,6904,91,84,852,681,130,160
Pittsylvania County,2016,61704,30368,31336,23313,23802,6405,6865,97,86,893,735,136,166
Pittsylvania County,2017,61309,30195,31114,23136,23650,6384,6800,99,89,900,693,141,176
Pittsylvania County,2018,60901,30034,30867,22953,23426,6371,6767,108,86,938,704,140,178
