,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
38,51,1,Virginia,Accomack County,2010,33148,16152,16996,11341,11496,4340,5049,105,92,87,106,28,24,251,229,11564,11709,4479,5178,215,185,125,138,34,28,14601,15726,9925,10349,4287,5003,53,43,82,101,21,15,233,215,10131,10548,4416,5122,153,129,118,132,26,19,1551,1270,1416,1147,53,46,52,49,5,5,7,9,18,14,1433,1161,63,56,62,56,7,6,8,9
57,51,1,Virginia,Accomack County,2011,33225,16225,17000,11348,11478,4390,5071,114,96,80,92,30,24,263,239,11596,11693,4531,5199,227,196,116,131,37,31,14589,15697,9868,10313,4329,5017,56,46,75,87,22,15,239,219,10093,10511,4458,5136,156,136,108,121,29,21,1636,1303,1480,1165,61,54,58,50,5,5,8,9,24,20,1503,1182,73,63,71,60,8,10,8,10
76,51,1,Virginia,Accomack County,2012,33268,16275,16993,11321,11463,4481,5073,109,96,82,103,31,25,251,233,11554,11671,4608,5204,219,197,119,133,37,34,14653,15698,9863,10324,4414,5004,53,44,77,98,23,16,223,212,10069,10514,4527,5125,150,134,110,122,29,25,1622,1295,1458,1139,67,69,56,52,5,5,8,9,28,21,1485,1157,81,79,69,63,9,11,8,9
95,51,1,Virginia,Accomack County,2013,32969,16092,16877,11171,11390,4431,5010,109,98,91,108,31,24,259,247,11408,11615,4569,5155,224,198,125,138,39,32,14509,15576,9753,10254,4362,4931,54,46,86,101,23,15,231,229,9964,10462,4490,5068,150,132,117,130,29,23,1583,1301,1418,1136,69,79,55,52,5,7,8,9,28,18,1444,1153,79,87,74,66,8,8,10,9
114,51,1,Virginia,Accomack County,2014,32971,16076,16895,11114,11409,4428,4989,108,96,112,125,29,24,285,252,11381,11633,4572,5135,222,197,157,164,38,32,14531,15591,9749,10275,4348,4906,56,45,107,118,23,15,248,232,9982,10480,4475,5041,150,136,148,155,31,22,1545,1304,1365,1134,80,83,52,51,5,7,6,9,37,20,1399,1153,97,94,72,61,9,9,7,10
133,51,1,Virginia,Accomack County,2015,32914,16021,16893,11044,11392,4422,4976,108,96,119,134,27,24,301,271,11316,11634,4584,5134,231,205,170,168,32,34,14454,15565,9667,10234,4334,4895,55,45,113,127,21,15,264,249,9905,10455,4478,5041,158,143,159,159,25,24,1567,1328,1377,1158,88,81,53,51,6,7,6,9,37,22,1411,1179,106,93,73,62,11,9,7,10
152,51,1,Virginia,Accomack County,2016,32871,15992,16879,11010,11372,4430,4978,109,99,114,139,27,25,302,266,11287,11612,4600,5136,224,209,163,172,35,30,14423,15546,9623,10213,4342,4890,53,47,109,132,21,16,275,248,9873,10438,4498,5039,153,147,158,162,29,21,1569,1333,1387,1159,88,88,56,52,5,7,6,9,27,18,1414,1174,102,97,71,62,5,10,6,9
171,51,1,Virginia,Accomack County,2017,32685,15920,16765,10900,11309,4460,4925,112,100,110,147,27,26,311,258,11175,11539,4631,5074,236,197,166,191,38,34,14341,15418,9511,10143,4367,4834,52,47,105,138,21,17,285,239,9762,10358,4526,4971,160,132,158,179,32,25,1579,1347,1389,1166,93,91,60,53,5,9,6,9,26,19,1413,1181,105,103,76,65,8,12,6,9
190,51,1,Virginia,Accomack County,2018,32581,15893,16688,10881,11276,4441,4877,120,106,111,149,27,25,313,255,11159,11510,4631,5033,245,202,153,182,37,33,14269,15342,9464,10110,4337,4792,54,51,106,139,21,16,287,234,9721,10327,4511,4936,164,138,146,169,31,23,1624,1346,1417,1166,104,85,66,55,5,10,6,9,26,21,1438,1183,120,97,81,64,7,13,6,10
209,51,1,Virginia,Accomack County,2019,32316,15728,16588,10703,11196,4455,4849,128,111,106,151,28,26,308,255,10978,11433,4630,5002,246,201,159,189,40,32,14123,15238,9320,10032,4345,4759,58,55,101,141,21,16,278,235,9567,10251,4508,4902,159,137,148,175,32,20,1605,1350,1383,1164,110,90,70,56,5,10,7,10,30,20,1411,1182,122,100,87,64,11,14,8,12
266,51,3,Virginia,Albemarle County,2010,99204,47712,51492,39517,42566,4694,5096,198,183,2234,2471,38,33,1031,1143,40467,43621,5198,5653,454,472,2646,2936,69,66,44800,48988,37027,40452,4571,4988,75,75,2209,2449,24,16,894,1008,37855,41391,4997,5464,269,296,2590,2884,44,40,2912,2504,2490,2114,123,108,123,108,25,22,14,17,137,135,2612,2230,201,189,185,176,56,52,25,26
285,51,3,Virginia,Albemarle County,2011,100213,48047,52166,39804,43061,4726,5167,208,192,2215,2484,43,34,1051,1228,40783,44183,5240,5762,466,494,2629,2978,88,89,45089,49542,37289,40832,4584,5066,78,78,2189,2464,26,16,923,1086,38153,41838,5019,5578,275,312,2576,2926,63,64,2958,2624,2515,2229,142,101,130,114,26,20,17,18,128,142,2630,2345,221,184,191,182,53,52,25,25
304,51,3,Virginia,Albemarle County,2012,101464,48561,52903,40227,43570,4732,5207,187,196,2288,2625,43,35,1084,1270,41228,44728,5264,5851,450,524,2718,3113,76,88,45598,50219,37711,41289,4582,5105,73,86,2262,2602,25,18,945,1119,38594,42319,5030,5656,268,335,2665,3064,49,62,2963,2684,2516,2281,150,102,114,110,26,23,18,17,139,151,2634,2409,234,195,182,189,53,49,27,26
323,51,3,Virginia,Albemarle County,2013,102270,48911,53359,40571,44028,4711,5206,200,190,2253,2622,39,36,1137,1277,41627,45197,5275,5854,469,493,2685,3120,89,92,45977,50617,38091,41697,4564,5101,84,79,2223,2595,21,18,994,1127,39022,42737,5043,5659,282,309,2628,3064,60,62,2934,2742,2480,2331,147,105,116,111,30,27,18,18,143,150,2605,2460,232,195,187,184,57,56,29,30
342,51,3,Virginia,Albemarle County,2014,103732,49634,54098,40986,44463,4834,5299,202,201,2380,2763,41,38,1191,1334,42107,45691,5424,5975,464,519,2849,3296,87,87,46685,51241,38490,42027,4683,5191,81,84,2339,2729,23,21,1069,1189,39496,43125,5209,5778,282,337,2783,3232,60,62,2949,2857,2496,2436,151,108,121,117,41,34,18,17,122,145,2611,2566,215,197,182,182,66,64,27,25
361,51,3,Virginia,Albemarle County,2015,105117,50387,54730,41497,45009,4879,5293,216,206,2495,2845,42,38,1258,1339,42672,46232,5523,5959,492,508,2984,3379,81,100,47335,51784,38946,42487,4708,5180,88,89,2451,2809,25,21,1117,1198,39991,43582,5266,5768,300,338,2912,3312,52,70,3052,2946,2551,2522,171,113,128,117,44,36,17,17,141,141,2681,2650,257,191,192,170,72,67,29,30
380,51,3,Virginia,Albemarle County,2016,106431,50926,55505,41829,45511,4993,5453,231,200,2564,2903,41,47,1268,1391,43006,46794,5634,6157,501,527,3051,3466,105,104,47812,52495,39216,42932,4826,5327,94,86,2520,2867,25,31,1131,1252,40268,44092,5384,5943,303,347,2987,3403,74,78,3114,3010,2613,2579,167,126,137,114,44,36,16,16,137,139,2738,2702,250,214,198,180,64,63,31,26
399,51,3,Virginia,Albemarle County,2017,107768,51482,56286,42223,46035,4982,5499,215,212,2703,3026,44,54,1315,1460,43446,47379,5633,6241,490,532,3241,3618,98,110,48353,53156,39580,43364,4811,5359,99,97,2658,2988,26,36,1179,1312,40679,44576,5381,6002,307,348,3168,3556,71,85,3129,3130,2643,2671,171,140,116,115,45,38,18,18,136,148,2767,2803,252,239,183,184,73,62,27,25
418,51,3,Virginia,Albemarle County,2018,108377,51811,56566,42429,46256,4996,5531,212,201,2804,3077,44,53,1326,1448,43650,47592,5667,6264,504,536,3347,3656,101,113,48649,53422,39771,43583,4805,5387,96,80,2761,3039,25,38,1191,1295,40878,44787,5398,6030,329,341,3269,3593,65,87,3162,3144,2658,2673,191,144,116,121,43,38,19,15,135,153,2772,2805,269,234,175,195,78,63,36,26
437,51,3,Virginia,Albemarle County,2019,109330,52319,57011,42775,46613,5043,5557,189,194,2919,3132,47,53,1346,1462,44023,47979,5722,6286,477,523,3463,3726,104,111,49146,53871,40092,43953,4875,5406,82,81,2869,3094,28,38,1200,1299,41207,45173,5473,6043,298,331,3383,3656,74,84,3173,3140,2683,2660,168,151,107,113,50,38,19,15,146,163,2816,2806,249,243,179,192,80,70,30,27
494,51,5,Virginia,Alleghany County,2010,16203,7946,8257,7411,7745,383,372,15,14,19,20,5,7,113,99,7517,7841,453,436,54,42,32,32,5,7,7844,8177,7322,7681,376,367,13,12,19,20,5,6,109,91,7425,7769,444,426,51,38,30,31,5,6,102,80,89,64,7,5,2,2,0,0,0,1,4,8,92,72,9,10,3,4,2,1,0,1
513,51,5,Virginia,Alleghany County,2011,16163,7933,8230,7405,7708,377,380,15,15,20,22,5,7,111,98,7511,7800,450,441,50,45,33,37,6,7,7808,8133,7296,7632,368,370,13,13,20,22,5,6,106,90,7397,7717,439,429,46,38,31,35,6,6,125,97,109,76,9,10,2,2,0,0,0,1,5,8,114,83,11,12,4,7,2,2,0,1
532,51,5,Virginia,Alleghany County,2012,16034,7856,8178,7304,7661,391,370,15,15,21,24,4,7,121,101,7419,7752,468,444,55,45,35,33,5,9,7725,8075,7188,7577,383,362,13,13,21,24,4,6,116,93,7298,7661,460,430,51,39,32,31,5,8,131,103,116,84,8,8,2,2,0,0,0,1,5,8,121,91,8,14,4,6,3,2,0,1
551,51,5,Virginia,Alleghany County,2013,15923,7856,8067,7289,7543,394,370,17,16,18,20,4,7,134,111,7417,7648,484,450,58,46,30,31,6,7,7724,7957,7172,7454,386,360,15,14,18,20,4,6,129,103,7296,7552,472,437,53,39,30,30,6,6,132,110,117,89,8,10,2,2,0,0,0,1,5,8,121,96,12,13,5,7,0,1,0,1
570,51,5,Virginia,Alleghany County,2014,15605,7671,7934,7109,7428,378,346,17,19,20,21,5,7,142,113,7247,7531,474,426,54,45,37,34,6,11,7567,7831,7020,7346,370,336,15,17,20,21,5,6,137,105,7153,7444,464,411,49,40,37,32,6,9,104,103,89,82,8,10,2,2,0,0,0,1,5,8,94,87,10,15,5,5,0,2,0,2
589,51,5,Virginia,Alleghany County,2015,15425,7557,7868,6999,7362,367,330,17,23,22,22,5,7,147,124,7140,7475,470,420,51,54,39,35,6,9,7452,7766,6909,7280,360,321,14,21,22,22,5,6,142,116,7046,7386,459,405,47,50,38,34,6,8,105,102,90,82,7,9,3,2,0,0,0,1,5,8,94,89,11,15,4,4,1,1,0,1
608,51,5,Virginia,Alleghany County,2016,15387,7523,7864,6962,7357,371,331,20,26,22,23,5,7,143,120,7099,7473,471,410,53,65,40,31,6,8,7413,7748,6868,7264,365,321,16,22,22,23,5,6,137,112,6999,7372,461,399,48,54,39,31,6,7,110,116,94,93,6,10,4,4,0,0,0,1,6,8,100,101,10,11,5,11,1,0,0,1
627,51,5,Virginia,Alleghany County,2017,15128,7396,7732,6836,7229,378,320,18,25,21,23,5,7,138,128,6966,7347,468,410,53,56,43,38,7,10,7283,7612,6739,7132,372,310,14,21,21,23,5,6,132,120,6863,7245,458,396,47,47,43,37,7,8,113,120,97,97,6,10,4,4,0,0,0,1,6,8,103,102,10,14,6,9,0,1,0,2
646,51,5,Virginia,Alleghany County,2018,14986,7325,7661,6761,7142,374,322,18,24,20,23,5,7,147,143,6897,7280,479,423,53,59,38,39,8,9,7218,7547,6669,7049,368,312,15,22,20,23,5,6,141,135,6800,7179,469,409,48,52,37,39,8,8,107,114,92,93,6,10,3,2,0,0,0,1,6,8,97,101,10,14,5,7,1,0,0,1
665,51,5,Virginia,Alleghany County,2019,14860,7260,7600,6689,7094,384,314,19,25,22,24,5,7,141,136,6819,7221,481,409,56,63,38,36,8,9,7143,7479,6588,6995,378,304,15,23,22,24,5,6,135,127,6712,7114,472,395,49,56,37,35,8,8,117,121,101,99,6,10,4,2,0,0,0,1,6,9,107,107,9,14,7,7,1,1,0,1
722,51,7,Virginia,Amelia County,2010,12746,6253,6493,4752,4786,1359,1569,46,29,12,19,2,5,82,85,4822,4865,1407,1617,74,60,30,35,3,6,6071,6376,4601,4694,1357,1564,20,18,11,17,0,0,82,83,4671,4772,1405,1612,48,48,29,31,1,1,182,117,151,92,2,5,26,11,1,2,2,5,0,2,151,93,2,5,26,12,1,4,2,5
741,51,7,Virginia,Amelia County,2011,12752,6237,6515,4761,4799,1326,1549,44,28,15,40,2,5,89,94,4844,4884,1377,1597,77,63,28,61,6,7,6049,6381,4602,4703,1323,1542,21,17,14,27,0,0,89,92,4685,4786,1374,1590,54,52,27,46,4,2,188,134,159,96,3,7,23,11,1,13,2,5,0,2,159,98,3,7,23,11,1,15,2,5
760,51,7,Virginia,Amelia County,2012,12745,6228,6517,4744,4812,1322,1515,45,28,17,43,2,5,98,114,4836,4913,1382,1587,77,71,33,56,4,11,6033,6360,4583,4697,1314,1507,22,17,16,27,0,0,98,112,4675,4796,1374,1578,54,59,32,39,2,6,195,157,161,115,8,8,23,11,1,16,2,5,0,2,161,117,8,9,23,12,1,17,2,5
779,51,7,Virginia,Amelia County,2013,12656,6165,6491,4728,4785,1279,1517,44,27,15,46,2,6,97,110,4817,4889,1335,1583,81,64,29,64,5,11,5980,6325,4576,4661,1272,1510,21,16,14,30,0,1,97,107,4665,4762,1328,1575,58,50,28,47,3,5,185,166,152,124,7,7,23,11,1,16,2,5,0,3,152,127,7,8,23,14,1,17,2,6
798,51,7,Virginia,Amelia County,2014,12713,6197,6516,4760,4799,1274,1519,44,28,20,49,2,6,97,115,4854,4901,1325,1587,73,66,40,69,5,12,6006,6335,4603,4666,1266,1506,21,17,19,33,0,1,97,112,4697,4765,1317,1573,50,53,39,53,3,7,191,181,157,133,8,13,23,11,1,16,2,5,0,3,157,136,8,14,23,13,1,16,2,5
817,51,7,Virginia,Amelia County,2015,12784,6278,6506,4840,4782,1262,1519,45,28,20,43,1,5,110,129,4944,4888,1326,1598,78,73,40,68,3,9,6076,6330,4673,4654,1254,1507,22,17,19,27,0,0,108,125,4775,4757,1318,1584,53,60,39,51,2,4,202,176,167,128,8,12,23,11,1,16,1,5,2,4,169,131,8,14,25,13,1,17,1,5
836,51,7,Virginia,Amelia County,2016,12801,6303,6498,4851,4807,1269,1490,46,29,23,44,1,5,113,123,4956,4922,1331,1562,83,73,45,62,3,7,6095,6310,4680,4667,1258,1478,23,17,21,28,0,0,113,120,4785,4779,1320,1547,60,61,43,46,2,2,208,188,171,140,11,12,23,12,2,16,1,5,0,3,171,143,11,15,23,12,2,16,1,5
855,51,7,Virginia,Amelia County,2017,12980,6407,6573,4958,4914,1262,1459,45,29,22,49,1,5,119,117,5071,5020,1325,1532,81,73,45,64,8,6,6195,6402,4780,4793,1254,1445,22,17,21,33,0,0,118,114,4892,4896,1316,1516,58,60,44,48,7,1,212,171,178,121,8,14,23,12,1,16,1,5,1,3,179,124,9,16,23,13,1,16,1,5
874,51,7,Virginia,Amelia County,2018,13057,6435,6622,4990,4989,1247,1431,47,29,25,52,1,5,125,116,5099,5097,1326,1499,93,69,46,69,5,8,6227,6455,4819,4872,1238,1418,24,17,24,36,0,0,122,112,4927,4977,1315,1485,67,53,45,53,4,3,208,167,171,117,9,13,23,12,1,16,1,5,3,4,172,120,11,14,26,16,1,16,1,5
893,51,7,Virginia,Amelia County,2019,13145,6483,6662,5026,5024,1252,1436,48,31,29,51,1,5,127,115,5135,5129,1323,1504,92,69,55,69,7,7,6256,6471,4841,4888,1244,1418,25,19,27,34,0,0,119,112,4944,4990,1313,1484,65,56,50,52,5,2,227,191,185,136,8,18,23,12,2,17,1,5,8,3,191,139,10,20,27,13,5,17,2,5
950,51,9,Virginia,Amherst County,2010,32387,15463,16924,11928,13159,3024,3163,136,160,55,107,4,3,316,332,12208,13450,3221,3374,241,274,116,175,18,16,15118,16637,11621,12910,2994,3141,134,156,55,105,4,3,310,322,11896,13192,3187,3345,235,265,114,172,17,16,345,287,307,249,30,22,2,4,0,2,0,0,6,10,312,258,34,29,6,9,2,3,1,0
969,51,9,Virginia,Amherst County,2011,32154,15340,16814,11865,13082,2958,3126,131,164,65,106,4,3,317,333,12148,13371,3155,3328,235,282,128,178,21,15,14995,16519,11565,12831,2924,3101,127,160,65,102,4,3,310,322,11843,13110,3118,3295,227,276,125,171,19,15,345,295,300,251,34,25,4,4,0,4,0,0,7,11,305,261,37,33,8,6,3,7,2,0
988,51,9,Virginia,Amherst County,2012,32630,15621,17009,11997,13233,3059,3166,132,162,73,113,5,5,355,330,12309,13515,3287,3383,254,274,139,174,19,20,15270,16684,11696,12956,3029,3141,129,156,73,111,5,5,338,315,11997,13226,3245,3349,242,261,135,169,18,19,351,325,301,277,30,25,3,6,0,2,0,0,17,15,312,289,42,34,12,13,4,5,1,1
1007,51,9,Virginia,Amherst County,2013,32317,15451,16866,11859,13121,3059,3136,130,155,67,109,5,4,331,341,12155,13420,3263,3354,232,268,129,174,29,23,15092,16521,11553,12835,3026,3110,126,148,67,105,5,4,315,319,11838,13114,3219,3317,218,248,126,167,27,22,359,345,306,286,33,26,4,7,0,4,0,0,16,22,317,306,44,37,14,20,3,7,2,1
1026,51,9,Virginia,Amherst County,2014,32158,15400,16758,11815,13040,3054,3119,125,146,67,109,6,3,333,341,12119,13330,3261,3339,221,249,140,189,23,17,15030,16399,11500,12743,3021,3090,121,138,67,106,6,3,315,319,11789,13015,3218,3296,207,233,135,181,22,17,370,359,315,297,33,29,4,8,0,3,0,0,18,22,330,315,43,43,14,16,5,8,1,0
1045,51,9,Virginia,Amherst County,2015,31836,15475,16361,11861,12668,3070,3088,121,151,72,99,6,4,345,351,12163,12968,3295,3320,225,260,144,161,19,26,15096,16010,11544,12380,3035,3061,118,141,72,96,6,4,321,328,11826,12660,3245,3277,212,238,138,157,16,26,379,351,317,288,35,27,3,10,0,3,0,0,24,23,337,308,50,43,13,22,6,4,3,0
1064,51,9,Virginia,Amherst County,2016,31887,15421,16466,11831,12787,3043,3072,118,154,73,97,6,4,350,352,12143,13087,3273,3302,222,271,137,165,23,16,15029,16094,11502,12484,3009,3045,114,141,73,94,6,4,325,326,11791,12762,3226,3263,208,244,130,159,21,15,392,372,329,303,34,27,4,13,0,3,0,0,25,26,352,325,47,39,14,27,7,6,2,1
1083,51,9,Virginia,Amherst County,2017,31863,15466,16397,11847,12705,3043,3061,123,158,72,90,6,5,375,378,12178,13035,3291,3312,233,276,152,152,24,27,15059,16026,11512,12412,3003,3032,118,143,72,87,6,5,348,347,11819,12718,3236,3263,214,245,147,147,22,24,407,371,335,293,40,29,5,15,0,3,0,0,27,31,359,317,55,49,19,31,5,5,2,3
1102,51,9,Virginia,Amherst County,2018,31684,15425,16259,11818,12599,3019,3017,120,165,81,90,7,7,380,381,12155,12932,3278,3272,233,285,151,163,24,24,15003,15889,11461,12305,2981,2989,115,150,81,87,7,7,358,351,11780,12612,3225,3227,218,255,145,158,22,22,422,370,357,294,38,28,5,15,0,3,0,0,22,30,375,320,53,45,15,30,6,5,2,2
1121,51,9,Virginia,Amherst County,2019,31605,15360,16245,11746,12553,3017,3024,119,172,80,100,7,7,391,389,12089,12907,3283,3272,230,287,156,176,26,19,14957,15881,11409,12262,2980,2997,114,157,80,97,6,7,368,361,11734,12590,3235,3230,212,256,149,169,23,19,403,364,337,291,37,27,5,15,0,3,1,0,23,28,355,317,48,42,18,31,7,7,3,0
1178,51,11,Virginia,Appomattox County,2010,15098,7342,7756,5755,6001,1428,1596,22,17,15,21,1,4,121,117,5868,6116,1516,1680,49,42,28,34,4,5,7249,7677,5681,5929,1422,1591,14,15,15,21,1,4,116,117,5789,6044,1508,1675,39,40,27,34,4,5,93,79,74,72,6,5,8,2,0,0,0,0,5,0,79,72,8,5,10,2,1,0,0,0
1197,51,11,Virginia,Appomattox County,2011,15109,7338,7771,5742,6039,1434,1570,22,17,19,22,1,4,120,119,5858,6149,1521,1654,48,50,31,36,3,7,7251,7687,5674,5962,1428,1566,14,15,19,22,1,4,115,118,5785,6071,1512,1650,38,48,30,35,3,7,87,84,68,77,6,4,8,2,0,0,0,0,5,1,73,78,9,4,10,2,1,1,0,0
1216,51,11,Virginia,Appomattox County,2012,15246,7410,7836,5793,6084,1447,1575,22,19,17,20,1,4,130,134,5919,6210,1541,1678,50,46,33,37,2,6,7323,7757,5727,6014,1439,1569,14,16,17,20,1,4,125,134,5848,6140,1531,1672,42,43,30,37,2,6,87,79,66,70,8,6,8,3,0,0,0,0,5,0,71,70,10,6,8,3,3,0,0,0
1235,51,11,Virginia,Appomattox County,2013,15320,7427,7893,5805,6116,1429,1595,25,24,20,25,1,4,147,129,5949,6233,1531,1693,54,50,38,45,4,5,7346,7809,5746,6043,1424,1590,15,18,20,25,1,4,140,129,5884,6160,1521,1688,43,44,36,45,4,5,81,84,59,73,5,5,10,6,0,0,0,0,7,0,65,73,10,5,11,6,2,0,0,0
1254,51,11,Virginia,Appomattox County,2014,15348,7445,7903,5800,6121,1440,1587,24,20,25,29,1,4,155,142,5948,6251,1556,1693,50,49,47,46,4,13,7361,7810,5735,6036,1434,1582,16,17,25,29,1,4,150,142,5879,6166,1550,1688,39,46,45,46,3,13,84,93,65,85,6,5,8,3,0,0,0,0,5,0,69,85,6,5,11,3,2,0,1,0
1273,51,11,Virginia,Appomattox County,2015,15492,7522,7970,5870,6192,1429,1562,26,22,30,32,2,5,165,157,6020,6337,1559,1681,55,53,51,53,4,7,7414,7858,5781,6091,1425,1555,18,20,30,32,1,4,159,156,5926,6235,1551,1673,44,50,51,53,3,6,108,112,89,101,4,7,8,2,0,0,1,1,6,1,94,102,8,8,11,3,0,0,1,1
1292,51,11,Virginia,Appomattox County,2016,15528,7546,7982,5928,6223,1410,1561,24,19,27,34,2,5,155,140,6076,6357,1523,1660,50,53,47,47,6,8,7427,7861,5828,6112,1405,1554,16,17,27,34,1,4,150,140,5972,6246,1515,1653,39,51,47,47,5,7,119,121,100,111,5,7,8,2,0,0,1,1,5,0,104,111,8,7,11,2,0,0,1,1
1311,51,11,Virginia,Appomattox County,2017,15723,7636,8087,6014,6305,1413,1568,23,21,19,34,2,5,165,154,6168,6450,1539,1681,57,53,37,51,5,8,7495,7967,5894,6197,1408,1560,15,19,19,34,1,4,158,153,6042,6341,1530,1672,46,51,36,51,4,7,141,120,120,108,5,8,8,2,0,0,1,1,7,1,126,109,9,9,11,2,1,0,1,1
1330,51,11,Virginia,Appomattox County,2018,15881,7713,8168,6077,6358,1414,1579,26,25,23,36,2,5,171,165,6236,6517,1544,1706,61,59,42,52,5,7,7567,8034,5953,6241,1408,1567,16,21,23,36,1,4,166,165,6107,6400,1537,1694,47,55,42,52,4,6,146,134,124,117,6,12,10,4,0,0,1,1,5,0,129,117,7,12,14,4,0,0,1,1
1349,51,11,Virginia,Appomattox County,2019,15911,7719,8192,6107,6414,1389,1562,26,22,23,38,2,6,172,150,6266,6556,1521,1671,60,55,43,55,3,9,7558,8053,5970,6292,1382,1550,16,18,23,38,2,5,165,150,6122,6434,1512,1659,48,51,40,55,3,8,161,139,137,122,7,12,10,4,0,0,0,1,7,0,144,122,9,12,12,4,3,0,0,1
1406,51,13,Virginia,Arlington County,2010,209295,104337,104958,82037,80240,8891,9538,948,822,9316,11140,137,121,3008,3097,84770,83041,9771,10521,1745,1699,11091,12928,304,267,87998,89495,67758,66703,8359,8997,206,201,9148,10983,79,69,2448,2542,69994,69005,9034,9762,721,790,10723,12572,207,177,16339,15463,14279,13537,532,541,742,621,168,157,58,52,560,555,14776,14036,737,759,1024,909,368,356,97,90
1425,51,13,Virginia,Arlington County,2011,215990,107767,108223,84727,82773,9135,9842,888,809,9713,11471,143,129,3161,3199,87632,85667,10073,10852,1707,1688,11581,13298,316,299,90956,92151,69963,68651,8611,9288,198,211,9532,11301,82,76,2570,2624,72331,71032,9317,10074,728,803,11182,12928,216,203,16811,16072,14764,14122,524,554,690,598,181,170,61,53,591,575,15301,14635,756,778,979,885,399,370,100,96
1444,51,13,Virginia,Arlington County,2012,221454,110206,111248,86495,85004,9388,10055,856,785,10005,11991,158,142,3304,3271,89517,87948,10367,11126,1688,1637,11966,13887,319,329,92894,94579,71209,70277,8854,9483,205,209,9816,11808,93,88,2717,2714,73708,72736,9610,10324,743,784,11567,13502,221,229,17312,16669,15286,14727,534,572,651,576,189,183,65,54,587,557,15809,15212,757,802,945,853,399,385,98,100
1463,51,13,Virginia,Arlington County,2013,224894,112053,112841,87790,86190,9641,10193,841,753,10142,12194,141,119,3498,3392,90975,89268,10677,11292,1704,1630,12205,14175,346,301,94401,95849,72227,71196,9055,9586,209,188,9960,12012,74,62,2876,2805,74849,73741,9857,10447,769,764,11810,13777,226,202,17652,16992,15563,14994,586,607,632,565,182,182,67,57,622,587,16126,15527,820,845,935,866,395,398,120,99
1482,51,13,Virginia,Arlington County,2014,225980,112679,113301,87567,85758,9981,10533,842,714,10547,12614,156,129,3586,3553,90866,88987,11070,11715,1708,1621,12702,14703,346,316,94940,96248,71949,70710,9341,9894,199,178,10372,12423,89,72,2990,2971,74709,73411,10195,10826,763,792,12314,14307,237,220,17739,17053,15618,15048,640,639,643,536,175,191,67,57,596,582,16157,15576,875,889,945,829,388,396,109,96
1501,51,13,Virginia,Arlington County,2015,228548,114227,114321,88262,85914,10347,10857,845,726,10956,13018,140,154,3677,3652,91619,89223,11467,12047,1701,1603,13190,15177,335,358,95958,97108,72179,70738,9674,10211,205,177,10746,12830,86,92,3068,3060,74987,73527,10544,11153,763,772,12760,14777,230,249,18269,17213,16083,15176,673,646,640,549,210,188,54,62,609,592,16632,15696,923,894,938,831,430,400,105,109
1520,51,13,Virginia,Arlington County,2016,231259,115703,115556,88989,86284,10700,11178,842,718,11279,13378,141,167,3752,3831,92428,89764,11841,12403,1704,1653,13537,15661,347,363,97125,98189,72664,70976,10006,10520,199,186,11051,13175,81,107,3124,3225,75529,73919,10904,11501,757,817,13101,15232,241,262,18578,17367,16325,15308,694,658,643,532,228,203,60,60,628,606,16899,15845,937,902,947,836,436,429,106,101
1539,51,13,Virginia,Arlington County,2017,234647,117387,117260,89956,87175,10900,11393,838,694,11611,13862,140,159,3942,3977,93579,90781,12092,12702,1764,1641,14007,16226,356,380,98532,99578,73446,71554,10186,10755,210,190,11374,13672,75,94,3241,3313,76430,74568,11105,11774,790,812,13522,15800,243,264,18855,17682,16510,15621,714,638,628,504,237,190,65,65,701,664,17149,16213,987,928,974,829,485,426,113,116
