,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
238,Falls Church city,0.044,0.011,-0.044,0.6459999999999999,0.293,-0.044,-0.044,-0.044,-0.044,2016
239,Franklin city,0.585,0.561,-0.162,0.387,-0.4370000000000001,-0.585,-0.585,-0.585,-0.585,2016
240,Fredericksburg city,0.257,0.091,-0.085,0.316,-0.147,-0.257,-0.257,-0.257,-0.257,2016
241,Galax city,0.727,-0.208,-0.509,9.4,-0.279,-0.727,-0.727,-0.727,-0.727,2016
242,Hampton city,0.236,0.203,0.022,0.052000000000000005,-0.17600000000000002,-0.183,-0.236,-0.16899999999999998,-0.236,2016
243,Harrisonburg city,0.265,0.019,-0.103,1.089,-0.04,-0.226,-0.265,-0.265,-0.265,2016
244,Hopewell city,0.4970000000000001,0.13,-0.174,0.659,-0.361,-0.4970000000000001,-0.4970000000000001,-0.4970000000000001,-0.4970000000000001,2016
245,Lexington city,,,,,,,,,,2016
246,Lynchburg city,0.327,0.022,-0.179,0.742,-0.205,-0.131,-0.327,-0.327,-0.327,2016
247,Manassas city,0.209,0.053,-0.056,0.486,-0.147,-0.209,-0.209,-0.209,-0.209,2016
248,Manassas Park city,,,,,,,,,,2016
249,Martinsville city,,,,,,,,,,2016
250,Newport News city,0.227,0.115,-0.034,0.179,-0.185,-0.215,-0.227,-0.227,-0.227,2016
251,Norfolk city,0.277,0.107,-0.042,0.21600000000000005,-0.202,-0.268,-0.277,-0.277,-0.277,2016
252,Norton city,1.234,-0.035,-0.813,13.549,0.419,-1.234,-1.234,-1.234,-1.234,2016
253,Petersburg city,0.7040000000000001,2.546,1.181,-0.118,-0.644,-0.426,-0.7040000000000001,-0.7040000000000001,-0.196,2016
254,Poquoson city,0.084,0.006,-0.031,2.48,-0.084,-0.084,-0.084,-0.084,-0.084,2016
255,Portsmouth city,0.515,0.627,0.19,-0.077,-0.443,-0.424,-0.515,-0.245,-0.515,2016
256,Radford city,0.3,0.08,-0.158,1.471,-0.18600000000000005,-0.3,-0.3,-0.3,-0.3,2016
257,Richmond city,0.237,0.16399999999999998,-0.011,0.12,-0.198,-0.212,-0.237,-0.199,-0.203,2016
258,Roanoke city,0.32,0.129,-0.081,0.3,-0.249,-0.259,-0.28300000000000003,-0.263,-0.32,2016
259,Salem city,0.348,0.047,-0.194,2.182,-0.027000000000000003,-0.348,-0.348,-0.348,-0.348,2016
260,Staunton city,0.493,-0.156,-0.339,4.003,0.175,0.063,-0.493,-0.493,-0.493,2016
261,Suffolk city,0.28600000000000003,0.141,-0.085,0.224,-0.222,-0.28600000000000003,-0.28600000000000003,-0.159,-0.28600000000000003,2016
262,Virginia Beach city,0.142,0.035,-0.068,0.35600000000000004,-0.087,-0.142,-0.142,-0.129,-0.125,2016
263,Waynesboro city,0.336,0.039,-0.239,1.499,0.159,-0.336,-0.336,-0.336,-0.336,2016
264,Williamsburg city,,,,,,,,,,2016
265,Winchester city,0.457,0.024,-0.112,1.3030000000000002,-0.199,-0.419,-0.457,-0.457,-0.457,2016
266,Accomack County,0.063,-0.01,-0.028,0.142,-0.024,-0.063,-0.063,-0.063,-0.063,2011
267,Albemarle County,0.063,-0.01,-0.042,0.529,0.014,-0.029,-0.063,-0.063,-0.063,2011
268,Alleghany County,0.303,-0.154,-0.238,7.3889999999999985,0.223,-0.303,-0.303,-0.303,-0.303,2011
269,Amelia County,0.165,0.003,-0.102,0.589,-0.165,-0.165,-0.165,-0.165,-0.165,2011
270,Amherst County,0.118,-0.025,-0.064,0.457,-0.022,-0.118,-0.118,-0.118,-0.118,2011
271,Appomattox County,0.139,0.0,-0.056,0.419,-0.139,-0.139,-0.139,-0.139,-0.139,2011
272,Arlington County,0.027000000000000003,0.013,-0.021,0.159,-0.017,-0.027000000000000003,-0.027000000000000003,-0.027000000000000003,-0.027000000000000003,2011
273,Augusta County,0.064,0.011,-0.047,0.5489999999999999,0.04,0.051,-0.064,-0.064,-0.064,2011
274,Bath County,0.064,0.073,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,-0.064,2011
275,Bedford County,0.103,-0.011,-0.057,0.994,-0.029,0.049,-0.103,-0.103,-0.103,2011
276,Bland County,0.07400000000000001,-0.045,-0.07400000000000001,1.936,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,2011
277,Botetourt County,0.036000000000000004,0.009000000000000001,-0.03,0.652,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,2011
278,Brunswick County,0.21,0.177,-0.065,0.04,-0.122,-0.21,-0.21,-0.21,-0.21,2011
279,Buchanan County,0.126,-0.065,-0.065,2.127,3.445,1.345,-0.126,-0.126,-0.126,2011
280,Buckingham County,0.128,-0.094,-0.108,0.387,-0.08800000000000001,-0.128,-0.128,-0.128,-0.128,2011
281,Campbell County,0.15,0.013,-0.077,0.461,-0.052000000000000005,0.21600000000000005,-0.15,-0.15,-0.15,2011
282,Caroline County,0.199,0.066,-0.106,0.338,-0.199,-0.003,-0.199,-0.199,-0.199,2011
283,Carroll County,0.116,-0.048,-0.08900000000000001,19.272,2.012,-0.116,-0.116,-0.116,-0.116,2011
284,Charles City County,0.125,0.191,0.084,-0.065,-0.125,-0.125,-0.125,-0.125,-0.125,2011
285,Charlotte County,0.232,0.07400000000000001,-0.138,0.338,-0.132,-0.232,-0.232,-0.232,-0.232,2011
286,Chesterfield County,0.122,0.012,-0.059,0.306,-0.069,-0.114,-0.122,-0.122,-0.122,2011
287,Clarke County,0.085,0.008,0.006999999999999999,-0.085,-0.085,-0.085,-0.085,-0.085,-0.085,2011
288,Craig County,0.155,-0.115,-0.155,199.845,49.845,-0.155,-0.155,-0.155,-0.155,2011
289,Culpeper County,0.152,0.035,-0.099,0.411,-0.123,-0.061,-0.152,-0.152,-0.152,2011
290,Cumberland County,0.12,0.005,-0.08900000000000001,0.28,-0.12,0.8320000000000001,-0.12,-0.12,-0.12,2011
291,Dickenson County,0.19,0.014,-0.138,38.272,-0.19,-0.19,-0.19,-0.19,-0.19,2011
292,Dinwiddie County,0.06,0.038,-0.016,0.008,-0.04,-0.06,-0.06,-0.06,-0.06,2011
293,Essex County,0.197,-0.001,-0.019,0.31,-0.197,-0.197,-0.197,-0.197,-0.197,2011
294,Fairfax County,0.01,0.001,-0.003,0.053,0.001,-0.009000000000000001,-0.01,-0.01,-0.01,2011
295,Fauquier County,0.136,-0.006999999999999999,-0.095,1.1909999999999998,0.08,-0.136,-0.136,-0.136,-0.136,2011
296,Floyd County,0.149,-0.08199999999999999,-0.054000000000000006,7.49,-0.149,-0.149,-0.149,-0.149,-0.149,2011
297,Fluvanna County,0.189,-0.048,-0.083,0.972,-0.06,0.065,-0.189,-0.189,-0.189,2011
298,Franklin County,0.211,-0.05,-0.149,2.092,0.08800000000000001,0.05,-0.211,-0.211,-0.211,2011
299,Frederick County,0.179,-0.009000000000000001,-0.092,1.911,0.455,-0.179,-0.141,-0.179,-0.179,2011
300,Giles County,0.227,-0.153,-0.203,19.773,2.117,-0.227,-0.227,2.898,-0.227,2011
301,Gloucester County,0.108,0.01,-0.053,0.477,0.077,-0.108,-0.108,-0.108,-0.108,2011
302,Goochland County,0.103,0.017,-0.01,0.049,-0.103,0.362,-0.103,-0.103,-0.103,2011
303,Grayson County,0.16899999999999998,0.037000000000000005,-0.09,1.606,1.121,-0.16899999999999998,-0.16899999999999998,-0.16899999999999998,-0.16899999999999998,2011
304,Greene County,0.134,-0.0,-0.134,1.891,0.033,-0.134,-0.134,-0.134,-0.134,2011
305,Greensville County,0.16699999999999998,0.183,0.168,-0.079,-0.16699999999999998,-0.16699999999999998,-0.16699999999999998,-0.16699999999999998,-0.16699999999999998,2011
306,Halifax County,0.219,0.266,-0.062,-0.08800000000000001,-0.219,-0.219,-0.219,-0.219,-0.219,2011
307,Hanover County,0.141,0.011,-0.06,0.424,-0.08,-0.141,-0.141,0.012,-0.141,2011
308,Henrico County,0.17800000000000002,0.059,-0.055,0.242,-0.106,-0.129,-0.17800000000000002,-0.16899999999999998,-0.17800000000000002,2011
309,Henry County,0.338,0.085,-0.185,0.6679999999999999,-0.241,-0.196,-0.338,0.414,-0.338,2011
310,Highland County,0.08800000000000001,-0.08800000000000001,-0.08800000000000001,39.912,-0.08800000000000001,-0.08800000000000001,-0.08800000000000001,-0.08800000000000001,-0.08800000000000001,2011
311,Isle of Wight County,0.091,-0.02,-0.029,0.234,-0.07,-0.091,-0.091,-0.091,-0.091,2011
312,James City County,0.114,-0.051,-0.093,0.94,0.055,-0.114,-0.114,-0.114,-0.005,2011
313,King and Queen County,0.172,-0.006999999999999999,-0.044,0.257,-0.172,0.547,-0.172,-0.172,-0.172,2011
314,King George County,0.218,-0.04,-0.121,0.8340000000000001,-0.035,-0.218,-0.218,-0.218,-0.218,2011
315,King William County,0.112,0.067,-0.08,0.263,-0.112,-0.112,-0.112,-0.112,-0.112,2011
316,Lancaster County,0.098,0.062,-0.026,-0.031,-0.098,1.395,-0.098,-0.098,-0.098,2011
317,Lee County,0.364,0.048,-0.223,2.141,4.181,-0.364,-0.364,-0.364,-0.364,2011
318,Loudoun County,0.022,0.002,-0.006,0.129,0.009000000000000001,-0.022,-0.022,-0.022,-0.022,2011
319,Louisa County,0.146,-0.033,-0.064,0.5760000000000001,-0.079,0.078,-0.146,-0.146,-0.146,2011
320,Lunenburg County,0.124,0.08800000000000001,-0.021,-0.044,-0.073,-0.124,-0.124,-0.124,-0.124,2011
321,Madison County,0.076,-0.004,-0.059,0.517,0.08800000000000001,-0.076,-0.076,-0.076,-0.076,2011
322,Mathews County,0.179,-0.049,-0.13,1.103,0.821,-0.179,-0.179,-0.179,-0.179,2011
323,Mecklenburg County,0.28600000000000003,0.207,-0.048,-0.003,-0.219,-0.28600000000000003,-0.28600000000000003,-0.28600000000000003,-0.28600000000000003,2011
324,Middlesex County,0.147,-0.029,-0.079,0.655,-0.147,-0.147,-0.147,-0.147,-0.147,2011
325,Montgomery County,0.036000000000000004,-0.01,-0.031,0.909,0.02,0.035,-0.036000000000000004,-0.036000000000000004,-0.036000000000000004,2011
326,Nelson County,0.093,-0.013,-0.077,0.779,-0.093,-0.093,-0.093,-0.093,-0.093,2011
327,New Kent County,0.112,-0.07400000000000001,-0.047,0.634,0.141,-0.112,-0.112,-0.112,-0.112,2011
328,Northampton County,0.13699999999999998,0.051,-0.13699999999999998,0.212,-0.097,0.043,-0.13699999999999998,1.617,-0.13699999999999998,2011
329,Northumberland County,0.217,0.14,-0.13,0.18600000000000005,-0.217,0.248,-0.217,-0.217,-0.217,2011
330,Nottoway County,0.107,0.165,-0.085,-0.05,-0.107,0.171,-0.107,-0.107,-0.107,2011
331,Orange County,0.135,-0.02,-0.094,0.934,-0.09,-0.135,-0.135,-0.135,-0.135,2011
332,Page County,0.196,-0.108,-0.171,10.793,1.149,-0.196,-0.196,-0.196,-0.196,2011
333,Patrick County,0.125,0.055,-0.055,0.062,-0.125,0.28800000000000003,-0.125,-0.125,-0.125,2011
334,Pittsylvania County,0.112,0.043,-0.063,0.156,-0.084,0.138,-0.112,-0.112,-0.112,2011
335,Powhatan County,0.103,0.003,-0.077,0.201,0.066,0.247,-0.103,-0.103,-0.103,2011
336,Prince Edward County,0.251,0.175,-0.092,0.07400000000000001,-0.175,-0.251,-0.251,-0.251,-0.251,2011
337,Prince George County,0.079,0.004,0.032,0.005,-0.058,-0.079,-0.079,-0.079,-0.079,2011
338,Prince William County,0.052000000000000005,0.006,-0.025,0.14300000000000002,-0.028,-0.048,-0.052000000000000005,-0.052000000000000005,-0.052000000000000005,2011
339,Pulaski County,0.25,-0.018000000000000002,-0.146,3.005,0.102,-0.25,-0.25,0.792,-0.25,2011
340,Rappahannock County,0.094,0.021,-0.065,0.505,0.535,-0.094,-0.094,-0.094,-0.094,2011
341,Richmond County,0.293,-0.078,-0.052000000000000005,0.247,-0.188,0.004,-0.293,-0.293,-0.293,2011
342,Roanoke County,0.083,-0.0,-0.058,1.153,-0.005,0.109,-0.083,-0.083,-0.083,2011
343,Rockbridge County,0.245,-0.006999999999999999,-0.115,4.271,0.08800000000000001,-0.245,-0.245,-0.245,-0.245,2011
344,Rockingham County,0.064,-0.02,-0.04,2.776,0.11,-0.064,-0.064,-0.064,-0.064,2011
345,Russell County,0.261,-0.094,-0.171,23.652,3.622,1.021,-0.261,-0.261,-0.261,2011
346,Scott County,0.312,-0.07400000000000001,-0.162,30.37,1.25,-0.312,-0.312,-0.312,-0.312,2011
347,Shenandoah County,0.097,0.03,-0.068,1.868,0.17,-0.097,-0.097,-0.097,-0.097,2011
348,Smyth County,0.162,-0.07,-0.118,7.779,1.061,-0.162,-0.162,-0.162,-0.162,2011
349,Southampton County,0.199,-0.045,-0.08900000000000001,0.339,-0.138,-0.199,-0.199,-0.199,-0.199,2011
350,Spotsylvania County,0.13,-0.032,-0.084,0.752,-0.059,-0.13,-0.13,-0.059,-0.13,2011
351,Stafford County,0.156,-0.031,-0.095,0.713,-0.061,-0.14,-0.156,-0.156,-0.156,2011
352,Surry County,0.188,0.027000000000000003,-0.018000000000000002,0.153,-0.188,-0.188,-0.188,-0.188,-0.188,2011
353,Sussex County,0.223,0.14800000000000002,-0.17600000000000002,0.126,-0.187,-0.223,-0.223,-0.223,-0.223,2011
354,Tazewell County,0.38,-0.055,-0.214,5.7029999999999985,0.517,1.61,-0.38,-0.38,-0.38,2011
355,Warren County,0.162,0.041,-0.099,1.537,-0.162,-0.162,-0.162,-0.162,-0.162,2011
356,Washington County,0.195,-0.035,-0.117,9.524,1.021,0.022,-0.195,-0.195,-0.195,2011
357,Westmoreland County,0.232,0.055,-0.069,0.274,-0.193,-0.232,-0.232,2.094,-0.232,2011
358,Wise County,0.408,-0.19,-0.274,4.3439999999999985,2.914,-0.408,-0.408,-0.408,-0.408,2011
359,Wythe County,0.339,-0.015,-0.255,7.086,2.1,-0.339,-0.339,1.09,-0.339,2011
360,York County,0.055,-0.031,-0.028,0.445,-0.012,-0.055,-0.055,-0.055,-0.055,2011
361,Alexandria city,0.015,0.01,-0.011,0.024,-0.009000000000000001,-0.015,-0.015,-0.015,-0.015,2011
362,Bristol city,0.339,-0.22,-0.258,7.337999999999999,0.5479999999999999,-0.339,-0.339,1.224,-0.339,2011
363,Buena Vista city,0.417,0.002,-0.35600000000000004,7.0120000000000005,0.193,-0.417,-0.417,-0.417,-0.417,2011
364,Charlottesville city,0.142,0.005,-0.086,0.564,-0.076,-0.142,-0.142,-0.142,-0.142,2011
365,Chesapeake city,0.147,-0.009000000000000001,-0.094,0.35700000000000004,-0.064,-0.091,-0.147,-0.147,-0.147,2011
366,Colonial Heights city,0.255,-0.046,-0.163,2.364,-0.16,-0.255,-0.255,-0.255,-0.255,2011
367,Covington city,,,,,,,,,,2011
368,Danville city,0.373,0.052000000000000005,-0.228,0.5720000000000001,-0.269,-0.373,-0.373,0.058,-0.373,2011
369,Emporia city,,,,,,,,,,2011
370,Fairfax city,,,,,,,,,,2011
371,Falls Church city,0.016,0.003,0.003,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,2011
372,Franklin city,0.58,0.358,-0.128,0.5710000000000001,-0.506,-0.58,-0.58,-0.58,-0.58,2011
373,Fredericksburg city,0.214,0.034,-0.131,0.613,-0.095,-0.214,-0.214,-0.214,-0.214,2011
374,Galax city,0.599,-0.041,-0.388,6.808,-0.172,-0.388,-0.599,-0.599,-0.599,2011
375,Hampton city,0.159,0.115,-0.034,0.111,-0.135,-0.099,-0.159,-0.08800000000000001,-0.159,2011
376,Harrisonburg city,0.122,0.035,-0.056,0.675,-0.122,-0.122,-0.122,-0.122,-0.122,2011
377,Hopewell city,0.338,0.153,-0.073,0.206,-0.19,-0.338,-0.338,-0.338,-0.338,2011
378,Lexington city,,,,,,,,,,2011
379,Lynchburg city,0.235,0.065,-0.103,0.426,-0.202,-0.235,-0.152,-0.235,-0.14300000000000002,2011
380,Manassas city,0.095,0.033,-0.04,0.221,-0.061,-0.095,-0.095,-0.095,-0.095,2011
381,Manassas Park city,,,,,,,,,,2011
382,Martinsville city,,,,,,,,,,2011
383,Newport News city,0.16899999999999998,0.067,-0.075,0.195,-0.109,-0.141,-0.16899999999999998,-0.16899999999999998,-0.16899999999999998,2011
384,Norfolk city,0.149,0.019,-0.059,0.205,-0.115,-0.118,-0.149,-0.105,-0.149,2011
385,Norton city,0.71,-0.358,-0.607,14.166,1.3030000000000002,-0.71,-0.71,-0.71,-0.71,2011
386,Petersburg city,0.5579999999999999,1.907,0.746,-0.033,-0.479,-0.5579999999999999,-0.5579999999999999,-0.5579999999999999,-0.5579999999999999,2011
387,Poquoson city,0.083,-0.065,-0.031,10.443,-0.083,-0.083,-0.083,-0.083,-0.083,2011
388,Portsmouth city,0.381,0.217,-0.162,0.287,-0.282,0.086,-0.381,-0.381,-0.381,2011
389,Radford city,0.297,0.006,-0.258,3.167,-0.022,0.206,-0.297,-0.297,-0.297,2011
390,Richmond city,0.208,0.128,-0.063,0.157,-0.147,-0.194,-0.208,-0.16899999999999998,-0.208,2011
391,Roanoke city,0.236,0.018000000000000002,-0.146,0.5820000000000001,-0.168,-0.203,-0.236,-0.236,-0.236,2011
392,Salem city,0.26,0.023,-0.183,2.085,0.289,0.019,-0.26,-0.26,-0.26,2011
393,Staunton city,0.254,0.021,-0.182,1.595,-0.07200000000000001,0.121,-0.254,-0.254,-0.254,2011
394,Suffolk city,0.183,-0.003,-0.108,0.298,-0.106,-0.111,-0.183,-0.183,-0.183,2011
395,Virginia Beach city,0.03,0.0,-0.022,0.112,-0.013,-0.023,-0.03,-0.015,-0.03,2011
396,Waynesboro city,0.152,-0.011,-0.109,1.194,-0.073,-0.152,-0.152,-0.152,-0.152,2011
397,Williamsburg city,,,,,,,,,,2011
398,Winchester city,0.39,0.15,-0.122,0.623,-0.39,-0.39,-0.39,-0.39,-0.39,2011
399,Accomack County,0.124,0.061,0.006,-0.032,-0.104,-0.124,-0.124,-0.124,-0.124,2010
400,Albemarle County,0.05,0.011,-0.027000000000000003,0.248,-0.03,-0.016,-0.05,-0.05,-0.05,2010
401,Alleghany County,0.34600000000000003,-0.184,-0.294,8.27,1.267,0.634,-0.34600000000000003,-0.34600000000000003,-0.34600000000000003,2010
402,Amelia County,0.188,0.001,-0.063,0.401,-0.124,-0.188,-0.188,-0.188,-0.188,2010
403,Amherst County,0.142,-0.108,-0.119,0.916,0.079,-0.142,-0.142,-0.142,-0.142,2010
404,Appomattox County,0.146,0.063,-0.096,0.274,-0.146,-0.146,-0.146,6.104,-0.146,2010
405,Arlington County,0.032,0.022,-0.017,0.069,-0.022,-0.032,-0.032,-0.032,-0.032,2010
406,Augusta County,0.095,0.015,-0.057,0.713,0.118,-0.095,-0.095,-0.095,-0.095,2010
407,Bath County,0.042,0.003,0.003,-0.042,-0.042,-0.042,-0.042,-0.042,-0.042,2010
408,Bedford County,0.093,-0.001,-0.049,0.73,0.019,-0.093,-0.093,-0.093,-0.093,2010
409,Bland County,0.059,-0.002,-0.059,0.961,-0.059,-0.059,-0.059,-0.059,-0.059,2010
410,Botetourt County,0.13,0.011,-0.055,1.483,-0.13,-0.13,-0.13,-0.13,-0.13,2010
411,Brunswick County,0.195,0.079,-0.138,0.141,-0.109,-0.195,-0.195,-0.195,-0.195,2010
412,Buchanan County,0.208,-0.096,-0.08800000000000001,2.9610000000000003,8.721,-0.208,-0.208,-0.208,-0.208,2010
413,Buckingham County,0.228,0.207,-0.107,-0.086,-0.147,0.34,-0.228,-0.228,-0.228,2010
414,Campbell County,0.075,0.015,-0.045,0.299,-0.075,-0.075,-0.075,-0.075,-0.075,2010
415,Caroline County,0.196,-0.004,-0.113,0.41,-0.149,0.202,-0.196,-0.196,-0.196,2010
416,Carroll County,0.096,-0.034,-0.076,14.755,2.151,-0.096,-0.096,-0.096,-0.096,2010
417,Charles City County,0.055,0.13699999999999998,0.014,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,2010
418,Charlotte County,0.135,0.028,-0.08800000000000001,0.14800000000000002,0.015,-0.135,-0.135,-0.135,-0.135,2010
419,Chesterfield County,0.116,-0.003,-0.075,0.373,-0.036000000000000004,-0.083,-0.116,-0.116,-0.116,2010
420,Clarke County,0.107,-0.013,0.002,0.425,-0.107,-0.107,-0.107,-0.107,-0.107,2010
421,Craig County,0.173,0.142,-0.135,-0.173,-0.173,-0.173,-0.173,-0.173,-0.173,2010
422,Culpeper County,0.184,0.031,-0.065,0.31,-0.127,-0.184,-0.184,-0.184,-0.184,2010
423,Cumberland County,0.02,-0.02,0.011,0.046,-0.02,-0.02,-0.02,-0.02,-0.02,2010
424,Dickenson County,0.215,-0.087,-0.126,70.618,-0.215,-0.215,-0.215,-0.215,-0.215,2010
425,Dinwiddie County,0.057,-0.024,-0.002,0.102,-0.037000000000000005,-0.057,-0.057,-0.057,-0.057,2010
426,Essex County,0.161,0.13,-0.013,-0.06,-0.073,-0.161,-0.161,-0.161,-0.161,2010
427,Fairfax County,0.006999999999999999,0.002,-0.002,0.035,-0.003,-0.006,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,2010
428,Fauquier County,0.116,0.014,-0.085,0.672,0.029,0.116,-0.116,-0.116,-0.116,2010
429,Floyd County,0.14300000000000002,-0.062,-0.08900000000000001,6.021,1.199,0.275,-0.14300000000000002,-0.14300000000000002,-0.14300000000000002,2010
430,Fluvanna County,0.105,0.027000000000000003,-0.052000000000000005,0.255,-0.105,0.423,-0.105,-0.105,-0.105,2010
431,Franklin County,0.205,-0.016,-0.099,1.3090000000000002,0.008,-0.205,-0.205,0.608,-0.205,2010
432,Frederick County,0.125,-0.008,-0.065,1.636,0.07,-0.125,-0.125,-0.125,-0.125,2010
433,Giles County,0.237,-0.03,-0.109,8.214,0.5379999999999999,-0.237,-0.237,-0.237,-0.237,2010
434,Gloucester County,0.068,-0.031,-0.025,0.3720000000000001,0.236,-0.068,-0.068,-0.068,-0.068,2010
435,Goochland County,0.124,-0.04,-0.055,0.425,-0.024,-0.124,-0.124,-0.124,-0.124,2010
436,Grayson County,0.065,0.017,-0.039,1.098,-0.065,-0.065,-0.065,-0.065,-0.065,2010
437,Greene County,0.081,0.017,-0.045,0.5870000000000001,-0.081,-0.081,-0.081,-0.081,-0.081,2010
438,Greensville County,0.08199999999999999,0.09,-0.08199999999999999,0.026,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,2010
439,Halifax County,0.099,0.05,-0.012,0.03,-0.071,-0.099,-0.099,-0.099,-0.099,2010
440,Hanover County,0.112,0.016,-0.051,0.411,-0.029,-0.025,-0.112,-0.112,-0.112,2010
441,Henrico County,0.172,0.111,-0.07,0.17800000000000002,-0.123,-0.108,-0.172,-0.162,-0.172,2010
442,Henry County,0.32299999999999995,0.036000000000000004,-0.18600000000000005,0.8809999999999999,-0.243,-0.25,-0.32299999999999995,-0.32299999999999995,0.423,2010
443,Highland County,,,,,,,,,,2010
444,Isle of Wight County,0.079,0.008,-0.063,0.217,-0.015,-0.079,-0.079,-0.079,-0.079,2010
445,James City County,0.115,-0.036000000000000004,-0.08,0.882,-0.03,-0.115,-0.115,-0.115,-0.115,2010
446,King and Queen County,0.158,0.01,-0.115,0.365,-0.061,-0.158,-0.158,-0.158,-0.158,2010
447,King George County,0.14800000000000002,-0.041,-0.092,0.5670000000000001,0.08,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,2010
448,King William County,0.106,-0.041,0.005,0.195,-0.04,0.462,-0.106,-0.106,-0.106,2010
449,Lancaster County,0.22,0.045,-0.149,0.529,-0.162,-0.22,-0.22,-0.22,-0.22,2010
450,Lee County,0.141,0.039,-0.1,0.624,1.3969999999999998,-0.141,-0.141,-0.141,-0.141,2010
451,Loudoun County,0.021,-0.0,-0.011,0.214,0.003,-0.016,-0.021,-0.021,-0.021,2010
452,Louisa County,0.207,0.061,-0.087,0.285,-0.141,0.028,-0.207,-0.207,-0.207,2010
453,Lunenburg County,0.139,0.027000000000000003,-0.062,0.14,-0.09,-0.139,-0.139,-0.139,-0.139,2010
454,Madison County,0.113,-0.006,-0.046,0.319,0.211,-0.113,-0.113,-0.113,-0.113,2010
455,Mathews County,0.08900000000000001,-0.08900000000000001,-0.04,0.914,0.393,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,-0.08900000000000001,2010
456,Mecklenburg County,0.324,0.013,-0.185,0.453,-0.142,-0.324,-0.324,0.546,-0.324,2010
457,Middlesex County,0.091,-0.021,-0.069,0.385,0.018000000000000002,-0.091,-0.091,-0.091,-0.091,2010
458,Montgomery County,0.055,-0.015,-0.04,0.941,0.394,0.017,-0.055,-0.055,-0.055,2010
459,Nelson County,0.107,0.006,-0.076,0.438,-0.012,0.261,-0.107,-0.107,-0.107,2010
460,New Kent County,0.14,0.016,-0.06,0.449,-0.14,-0.14,-0.14,-0.14,-0.14,2010
461,Northampton County,0.161,0.133,-0.109,0.182,-0.161,-0.161,-0.161,-0.161,-0.161,2010
462,Northumberland County,0.146,0.057,-0.036000000000000004,-0.01,-0.026,-0.146,-0.146,-0.146,-0.146,2010
463,Nottoway County,0.12,0.091,-0.031,0.024,-0.12,-0.12,-0.12,-0.12,-0.12,2010
464,Orange County,0.092,0.002,-0.064,0.464,0.0,-0.092,-0.092,-0.092,-0.092,2010
465,Page County,0.15,-0.071,-0.116,7.341,1.245,-0.15,-0.15,-0.15,-0.15,2010
466,Patrick County,0.195,0.043,-0.091,0.74,-0.013,0.236,-0.195,-0.195,-0.195,2010
467,Pittsylvania County,0.09,0.023,-0.053,0.129,-0.076,0.541,-0.09,-0.09,-0.09,2010
468,Powhatan County,0.08199999999999999,-0.0,-0.039,0.222,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,-0.08199999999999999,2010
469,Prince Edward County,0.111,0.08900000000000001,-0.07,0.102,-0.111,-0.111,-0.111,-0.111,-0.111,2010
470,Prince George County,0.087,0.067,-0.031,-0.029,-0.044,-0.003,-0.087,-0.087,-0.087,2010
471,Prince William County,0.038,0.019,-0.013,0.052000000000000005,-0.024,-0.036000000000000004,-0.038,-0.038,-0.038,2010
472,Pulaski County,0.233,-0.076,-0.184,4.55,0.23,0.187,-0.233,-0.233,-0.233,2010
473,Rappahannock County,0.04,-0.011,-0.011,-0.04,0.597,-0.04,-0.04,-0.04,-0.04,2010
474,Richmond County,0.29100000000000004,0.196,-0.122,-0.022,-0.18600000000000005,-0.29100000000000004,-0.29100000000000004,-0.29100000000000004,-0.29100000000000004,2010
475,Roanoke County,0.1,0.028,-0.061,0.8220000000000001,-0.018000000000000002,0.001,-0.1,-0.1,-0.1,2010
476,Rockbridge County,0.219,-0.009000000000000001,-0.163,4.683,1.17,-0.219,-0.219,1.955,1.344,2010
477,Rockingham County,0.054000000000000006,-0.032,-0.038,2.594,0.836,-0.054000000000000006,-0.054000000000000006,0.407,-0.054000000000000006,2010
478,Russell County,0.294,-0.013,-0.128,10.817,6.6370000000000005,-0.294,-0.294,-0.294,-0.294,2010
479,Scott County,0.125,-0.081,-0.081,22.66,1.4880000000000002,-0.125,-0.125,-0.125,-0.125,2010
480,Shenandoah County,0.07400000000000001,-0.013,-0.026,2.019,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,-0.07400000000000001,2010
481,Smyth County,0.202,-0.017,-0.158,7.0870000000000015,1.04,0.155,-0.202,-0.202,-0.202,2010
482,Southampton County,0.107,-0.022,-0.07,0.16399999999999998,-0.015,-0.107,-0.107,-0.107,-0.107,2010
