,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
53,Louisa County,0.277,0.055,-0.133,0.773,-0.244,-0.129,-0.277,-0.277,-0.277,2019
54,Lunenburg County,0.16399999999999998,0.08800000000000001,0.025,-0.077,-0.11,-0.16399999999999998,-0.16399999999999998,-0.16399999999999998,-0.16399999999999998,2019
55,Madison County,0.181,0.071,-0.097,0.599,-0.181,-0.181,-0.181,-0.181,-0.181,2019
56,Mathews County,0.226,0.065,-0.17600000000000002,1.167,-0.226,-0.226,-0.226,-0.226,-0.226,2019
57,Mecklenburg County,0.461,0.14,-0.235,0.618,-0.315,-0.461,-0.461,-0.461,-0.461,2019
58,Middlesex County,0.312,-0.141,-0.061,1.221,-0.194,-0.312,-0.312,-0.312,-0.312,2019
59,Montgomery County,0.184,-0.044,-0.093,2.713,0.5429999999999999,-0.184,-0.184,-0.184,-0.184,2019
60,Nelson County,0.5489999999999999,-0.193,-0.272,4.3610000000000015,-0.118,-0.5489999999999999,-0.5489999999999999,-0.5489999999999999,-0.5489999999999999,2019
61,New Kent County,0.17800000000000002,-0.04,-0.059,0.6779999999999999,-0.04,-0.17800000000000002,-0.17800000000000002,-0.17800000000000002,-0.17800000000000002,2019
62,Northampton County,0.342,-0.122,-0.234,0.984,-0.162,-0.342,-0.342,-0.342,-0.342,2019
63,Northumberland County,0.306,-0.1,-0.16899999999999998,1.102,-0.181,-0.306,-0.306,-0.306,-0.306,2019
64,Nottoway County,0.256,0.094,-0.018000000000000002,0.034,-0.138,-0.256,-0.256,-0.256,-0.256,2019
65,Orange County,0.238,0.024,-0.09,0.616,-0.034,-0.238,-0.238,-0.238,-0.238,2019
66,Page County,0.531,0.14400000000000002,-0.28,4.12,2.066,-0.531,-0.531,1.164,-0.531,2019
67,Patrick County,0.398,-0.212,-0.277,7.077000000000001,1.222,-0.398,-0.398,-0.398,-0.398,2019
68,Pittsylvania County,0.152,-0.042,-0.079,0.503,-0.033,-0.152,-0.152,0.552,-0.152,2019
69,Powhatan County,0.135,-0.014,-0.065,0.684,-0.037000000000000005,-0.135,-0.135,-0.135,-0.135,2019
70,Prince Edward County,0.224,0.116,-0.14,0.294,-0.198,-0.224,-0.224,-0.224,-0.224,2019
71,Prince George County,0.149,0.09,-0.021,0.02,-0.112,-0.149,-0.149,-0.149,-0.149,2019
72,Prince William County,0.117,0.057,0.004,0.044,-0.079,-0.112,-0.115,-0.117,-0.104,2019
73,Pulaski County,0.505,-0.154,-0.238,6.902,0.142,-0.505,-0.505,-0.505,-0.505,2019
74,Rappahannock County,0.163,-0.014,-0.018000000000000002,1.111,-0.163,-0.163,-0.163,-0.163,-0.163,2019
75,Richmond County,0.344,-0.025,-0.067,0.16,0.105,-0.344,-0.344,-0.344,-0.344,2019
76,Roanoke County,0.222,0.052000000000000005,-0.087,0.902,0.011,-0.222,-0.222,-0.222,-0.222,2019
77,Rockbridge County,0.501,0.054000000000000006,-0.154,3.258,-0.213,-0.081,-0.501,-0.501,-0.501,2019
78,Rockingham County,0.14800000000000002,0.03,-0.067,1.39,0.071,-0.085,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,2019
79,Russell County,0.5720000000000001,0.085,-0.332,17.557000000000002,2.937,-0.07400000000000001,-0.5720000000000001,-0.5720000000000001,-0.5720000000000001,2019
80,Scott County,0.4270000000000001,-0.058,-0.188,18.621,5.207000000000002,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,2019
81,Shenandoah County,0.344,-0.019,-0.162,5.477,0.825,-0.344,-0.344,-0.344,-0.344,2019
82,Smyth County,0.498,-0.035,-0.301,11.691,1.236,-0.498,-0.498,-0.498,-0.498,2019
83,Southampton County,0.21,0.037000000000000005,-0.022,0.104,-0.142,-0.21,-0.21,-0.21,-0.21,2019
84,Spotsylvania County,0.203,0.047,-0.049,0.222,-0.087,-0.19,-0.203,-0.203,-0.203,2019
85,Stafford County,0.261,0.05,-0.073,0.386,-0.13,-0.234,-0.252,-0.221,-0.261,2019
86,Surry County,0.187,0.032,-0.07,0.294,-0.187,-0.187,-0.187,-0.187,-0.187,2019
87,Sussex County,0.358,0.227,0.23,-0.027000000000000003,-0.358,-0.358,-0.358,-0.358,-0.358,2019
88,Tazewell County,0.961,-0.238,-0.478,13.576,3.517,0.494,-0.961,-0.961,-0.961,2019
89,Warren County,0.383,0.104,-0.142,1.15,0.249,-0.383,-0.383,-0.383,-0.383,2019
90,Washington County,0.313,-0.067,-0.154,9.566,3.437,-0.116,-0.313,0.406,-0.313,2019
91,Westmoreland County,0.183,-0.068,-0.104,0.569,-0.019,-0.183,-0.183,-0.183,-0.183,2019
92,Wise County,0.5379999999999999,-0.069,-0.33,3.4410000000000003,2.7110000000000003,-0.5379999999999999,-0.5379999999999999,-0.5379999999999999,-0.5379999999999999,2019
93,Wythe County,0.363,-0.098,-0.248,9.837,0.632,-0.363,-0.363,-0.363,-0.363,2019
94,York County,0.095,0.018000000000000002,-0.045,0.349,-0.054000000000000006,-0.095,-0.095,-0.095,-0.095,2019
95,Alexandria city,0.023,0.008,-0.006,0.028,-0.012,-0.023,-0.023,-0.023,-0.023,2019
96,Bristol city,0.298,0.056,-0.185,1.916,0.29100000000000004,-0.298,-0.298,-0.298,-0.298,2019
97,Buena Vista city,0.5710000000000001,0.171,-0.318,3.64,0.123,-0.5710000000000001,-0.5710000000000001,-0.5710000000000001,-0.5710000000000001,2019
98,Charlottesville city,0.248,0.058,-0.07200000000000001,0.564,-0.226,-0.181,-0.248,-0.126,-0.248,2019
99,Chesapeake city,0.214,0.047,-0.049,0.268,-0.151,-0.214,-0.214,-0.214,-0.214,2019
100,Colonial Heights city,0.581,0.063,-0.2,1.429,-0.26,-0.219,-0.581,-0.581,-0.348,2019
101,Covington city,,,,,,,,,,2019
102,Danville city,0.722,0.754,0.035,0.07200000000000001,-0.5820000000000001,-0.53,-0.722,-0.722,-0.722,2019
103,Emporia city,,,,,,,,,,2019
104,Fairfax city,,,,,,,,,,2019
105,Falls Church city,0.014,-0.014,0.02,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,2019
106,Franklin city,0.8540000000000001,0.999,0.426,-0.215,-0.579,-0.8540000000000001,-0.8540000000000001,-0.8540000000000001,-0.8540000000000001,2019
107,Fredericksburg city,0.475,0.184,-0.132,0.522,-0.264,-0.413,-0.475,-0.475,-0.475,2019
108,Galax city,1.339,0.158,-0.68,8.353,0.043,-1.137,-1.339,-1.339,-1.339,2019
109,Hampton city,0.314,0.388,0.04,0.02,-0.266,-0.29,-0.314,-0.314,-0.314,2019
110,Harrisonburg city,0.302,0.106,-0.08900000000000001,0.5539999999999999,-0.125,-0.284,-0.302,-0.302,-0.302,2019
111,Hopewell city,0.5770000000000001,0.589,0.105,-0.098,-0.503,-0.5770000000000001,-0.5770000000000001,-0.5770000000000001,-0.5770000000000001,2019
112,Lexington city,,,,,,,,,,2019
113,Lynchburg city,0.34600000000000003,0.14800000000000002,-0.141,0.368,-0.209,-0.289,-0.34600000000000003,-0.254,-0.34600000000000003,2019
114,Manassas city,0.212,0.14400000000000002,-0.104,0.139,-0.118,-0.212,-0.212,-0.212,-0.212,2019
115,Manassas Park city,,,,,,,,,,2019
116,Martinsville city,,,,,,,,,,2019
117,Newport News city,0.278,0.115,-0.023,0.226,-0.205,-0.232,-0.278,-0.278,-0.278,2019
118,Norfolk city,0.34600000000000003,0.084,-0.022,0.287,-0.235,-0.34600000000000003,-0.34600000000000003,-0.326,-0.34600000000000003,2019
119,Norton city,0.929,-0.386,-0.563,15.142,1.51,-0.929,-0.929,-0.929,-0.929,2019
120,Petersburg city,1.126,5.1560000000000015,1.995,-0.489,-1.028,-0.884,-1.126,-0.638,-1.126,2019
121,Poquoson city,0.065,0.022,-0.065,3.639,-0.065,-0.065,-0.065,-0.065,-0.065,2019
122,Portsmouth city,0.594,0.8140000000000001,0.182,-0.08,-0.537,-0.594,-0.594,-0.335,-0.594,2019
123,Radford city,0.4270000000000001,-0.049,-0.221,2.924,0.113,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,0.014,2019
124,Richmond city,0.295,0.098,-0.136,0.363,-0.21600000000000005,-0.273,-0.282,-0.183,-0.262,2019
125,Roanoke city,0.468,0.307,-0.084,0.188,-0.397,-0.44,-0.468,-0.312,-0.468,2019
126,Salem city,0.4270000000000001,0.065,-0.22,2.779,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,-0.08800000000000001,2019
127,Staunton city,0.4370000000000001,-0.006,-0.251,2.509,-0.035,-0.4370000000000001,-0.4370000000000001,-0.4370000000000001,-0.4370000000000001,2019
128,Suffolk city,0.308,0.12,-0.078,0.234,-0.203,-0.308,-0.308,-0.308,-0.308,2019
129,Virginia Beach city,0.142,0.02,-0.061,0.3720000000000001,-0.068,-0.13699999999999998,-0.142,-0.136,-0.142,2019
130,Waynesboro city,0.415,0.12,-0.246,1.394,-0.228,-0.212,-0.415,-0.415,-0.415,2019
131,Williamsburg city,0.006999999999999999,0.013,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,-0.006999999999999999,2019
132,Winchester city,0.552,0.12,-0.236,1.409,0.097,-0.515,-0.552,-0.552,-0.552,2019
133,Accomack County,0.113,-0.013,-0.034,0.18,-0.033,-0.113,-0.113,-0.113,-0.113,2016
134,Albemarle County,0.09,-0.006,-0.055,0.691,-0.035,-0.09,-0.09,-0.052000000000000005,-0.056,2016
135,Alleghany County,0.5,-0.069,-0.31,7.0470000000000015,1.011,-0.5,-0.5,-0.5,-0.5,2016
136,Amelia County,0.219,-0.095,-0.073,0.648,0.049,-0.219,-0.219,-0.219,-0.219,2016
137,Amherst County,0.191,0.003,-0.113,0.565,-0.061,-0.191,-0.191,-0.191,-0.191,2016
138,Appomattox County,0.27,-0.051,-0.222,1.361,-0.142,0.57,-0.27,-0.27,-0.27,2016
139,Arlington County,0.061,-0.008,-0.045,0.612,0.02,-0.061,-0.061,-0.061,-0.061,2016
140,Augusta County,0.124,-0.03,-0.073,1.261,0.691,-0.03,-0.124,0.339,-0.124,2016
141,Bath County,0.272,-0.127,-0.029,2.228,0.948,-0.272,-0.272,-0.272,-0.272,2016
142,Bedford County,0.145,-0.041,-0.075,1.393,0.108,-0.025,-0.145,-0.145,0.037000000000000005,2016
143,Bland County,0.185,-0.033,-0.079,0.7859999999999999,4.6930000000000005,-0.185,-0.185,-0.185,-0.185,2016
144,Botetourt County,0.138,0.016,-0.075,1.7819999999999998,-0.138,-0.138,-0.138,-0.138,-0.138,2016
145,Brunswick County,0.343,0.182,-0.196,0.25,-0.295,-0.343,-0.343,1.086,-0.343,2016
146,Buchanan County,0.495,-0.012,-0.289,4.213,2.696,-0.495,-0.495,7.837999999999999,-0.495,2016
147,Buckingham County,0.211,0.032,-0.012,0.083,-0.129,-0.211,-0.211,-0.211,-0.211,2016
148,Campbell County,0.191,-0.078,-0.14,1.291,0.003,-0.191,-0.191,0.189,0.108,2016
149,Caroline County,0.299,0.041,-0.133,0.5770000000000001,-0.228,-0.299,-0.299,-0.299,-0.299,2016
150,Carroll County,0.161,-0.098,-0.147,24.839,5.244,-0.161,-0.161,-0.161,-0.161,2016
151,Charles City County,0.156,0.039,-0.023,0.234,-0.156,-0.156,-0.156,-0.156,-0.156,2016
152,Charlotte County,0.404,-0.047,-0.067,0.674,-0.293,-0.404,-0.404,-0.404,-0.404,2016
153,Chesterfield County,0.153,0.024,-0.044,0.249,-0.093,-0.146,-0.153,-0.153,-0.138,2016
154,Clarke County,0.07,0.038,-0.07,0.231,0.199,-0.07,-0.07,-0.07,-0.07,2016
155,Craig County,0.17600000000000002,-0.056,-0.097,39.824,-0.17600000000000002,-0.17600000000000002,-0.17600000000000002,-0.17600000000000002,-0.17600000000000002,2016
156,Culpeper County,0.221,0.022,-0.073,0.433,-0.081,-0.221,-0.221,-0.221,-0.221,2016
